text,seed_examples
I believe that life has a purpose.,"['Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.', 'I believe most things happen for a reason.', 'I believe there is a real purpose for my life.', 'Members of my family come to me for support.', 'I prefer to take the lead in problem-solving.']"
I appreciate the amount of intellectual stimulation I receive in my daily life.,"['Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.', 'I believe most things happen for a reason.', 'I believe there is a real purpose for my life.', 'Members of my family come to me for support.', 'I prefer to take the lead in problem-solving.']"
"Generally, I feel satisfied with my personal life and the amount of intellectual stimulation I receive in my daily life.","['Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.', 'I believe most things happen for a reason.', 'I believe there is a real purpose for my life.', 'Members of my family come to me for support.', 'I prefer to take the lead in problem-solving.']"
I believe my life's journey should have a purpose.,"['Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.', 'I believe most things happen for a reason.', 'I believe there is a real purpose for my life.', 'Members of my family come to me for support.', 'I prefer to take the lead in problem-solving.']"
I enjoy writing.,"['Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.', 'I believe most things happen for a reason.', 'I believe there is a real purpose for my life.', 'Members of my family come to me for support.', 'I prefer to take the lead in problem-solving.']"
I tend to be anxious and scared.,"['The demands of everyday life often get me down.', 'I feel completely alone', 'I work to attain goals.', 'Under pressure, I stay focused and think clearly.', 'I am unable to reach out and communicate with those around me']"
I am unable to reach out and communicate with those around me.,"['The demands of everyday life often get me down.', 'I feel completely alone', 'I work to attain goals.', 'Under pressure, I stay focused and think clearly.', 'I am unable to reach out and communicate with those around me']"
I try to stay positive and work through difficulties,"['The demands of everyday life often get me down.', 'I feel completely alone', 'I work to attain goals.', 'Under pressure, I stay focused and think clearly.', 'I am unable to reach out and communicate with those around me']"
I work to achieve goals.,"['The demands of everyday life often get me down.', 'I feel completely alone', 'I work to attain goals.', 'Under pressure, I stay focused and think clearly.', 'I am unable to reach out and communicate with those around me']"
I am very successful at work and have a stable income.,"['The demands of everyday life often get me down.', 'I feel completely alone', 'I work to attain goals.', 'Under pressure, I stay focused and think clearly.', 'I am unable to reach out and communicate with those around me']"
I am good at managing responsibilities of daily life.,"['I believe I can achieve my goals, even if there are obstacles.', 'I am always optimistic about my future.', 'To what extent do you lead a purposeful and meaningful life?', 'I am good at managing the responsibilities of daily life.', 'I lack companionship']"
I am lonely.,"['I believe I can achieve my goals, even if there are obstacles.', 'I am always optimistic about my future.', 'To what extent do you lead a purposeful and meaningful life?', 'I am good at managing the responsibilities of daily life.', 'I lack companionship']"
I have a desire to have sex with someone.,"['I believe I can achieve my goals, even if there are obstacles.', 'I am always optimistic about my future.', 'To what extent do you lead a purposeful and meaningful life?', 'I am good at managing the responsibilities of daily life.', 'I lack companionship']"
I would do better if I could have a friend to talk to.,"['I believe I can achieve my goals, even if there are obstacles.', 'I am always optimistic about my future.', 'To what extent do you lead a purposeful and meaningful life?', 'I am good at managing the responsibilities of daily life.', 'I lack companionship']"
Maintaining close relationships has been challenging and frustrating for me.,"['Maintaining close relationships has been difficult and frustrating for me.', 'My social relationships are superficial', 'I tend to bounce back after illness, injury, or other hardships.', 'My friends know they can always confide in me and ask me for advice.', 'I believe I can achieve my goals, even if there are obstacles.']"
I scream at friends after I tell them they can't talk to me.,"['Maintaining close relationships has been difficult and frustrating for me.', 'My social relationships are superficial', 'I tend to bounce back after illness, injury, or other hardships.', 'My friends know they can always confide in me and ask me for advice.', 'I believe I can achieve my goals, even if there are obstacles.']"
I am healthy in my relationships and relationships can be difficult but I am strong and confident.,"['Maintaining close relationships has been difficult and frustrating for me.', 'My social relationships are superficial', 'I tend to bounce back after illness, injury, or other hardships.', 'My friends know they can always confide in me and ask me for advice.', 'I believe I can achieve my goals, even if there are obstacles.']"
I have been very frank about my shortcomings.,"['Maintaining close relationships has been difficult and frustrating for me.', 'My social relationships are superficial', 'I tend to bounce back after illness, injury, or other hardships.', 'My friends know they can always confide in me and ask me for advice.', 'I believe I can achieve my goals, even if there are obstacles.']"
Maintaining close relationships has been more rewarding than the last time.,"['Maintaining close relationships has been difficult and frustrating for me.', 'My social relationships are superficial', 'I tend to bounce back after illness, injury, or other hardships.', 'My friends know they can always confide in me and ask me for advice.', 'I believe I can achieve my goals, even if there are obstacles.']"
I don't know where my next big project will take me.,"['I rarely count on good things happening to me.', 'People would describe me as a giving person, willing to share my time with others.', 'I have to act on a hunch.', 'How would you say your health is?', 'My friends will be there for me when I need help.']"
I have been dealing with depression and anxiety.,"['I rarely count on good things happening to me.', 'People would describe me as a giving person, willing to share my time with others.', 'I have to act on a hunch.', 'How would you say your health is?', 'My friends will be there for me when I need help.']"
I hope I have a friend who can help me when I feel stressed and need support.,"['I rarely count on good things happening to me.', 'People would describe me as a giving person, willing to share my time with others.', 'I have to act on a hunch.', 'How would you say your health is?', 'My friends will be there for me when I need help.']"
"I hope to have good health, good friends and good chances.","['I rarely count on good things happening to me.', 'People would describe me as a giving person, willing to share my time with others.', 'I have to act on a hunch.', 'How would you say your health is?', 'My friends will be there for me when I need help.']"
I am able to have a productive day without being stressed out by life's issues.,"['I have confidence in my own opinions, even if they are different from the way most other people think.', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I believe most things happen for a reason.', 'I have not experienced many warm and trusting relationships with others.', 'I rarely count on good things happening to me.']"
I believe that I can still make the best choices for myself and my life.,"['I have confidence in my own opinions, even if they are different from the way most other people think.', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I believe most things happen for a reason.', 'I have not experienced many warm and trusting relationships with others.', 'I rarely count on good things happening to me.']"
I am able to trust others when they tell me how to live my life.,"['I have confidence in my own opinions, even if they are different from the way most other people think.', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I believe most things happen for a reason.', 'I have not experienced many warm and trusting relationships with others.', 'I rarely count on good things happening to me.']"
I believe that my own opinion matters more than other peoples.,"['I have confidence in my own opinions, even if they are different from the way most other people think.', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I believe most things happen for a reason.', 'I have not experienced many warm and trusting relationships with others.', 'I rarely count on good things happening to me.']"
"I feel anxious about my emotions, especially when they are related to work or relationships.","['I have confidence in my own opinions, even if they are different from the way most other people think.', 'During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?', 'I believe most things happen for a reason.', 'I have not experienced many warm and trusting relationships with others.', 'I rarely count on good things happening to me.']"
I have been happy with my current situation.,"['I have a strong sense of purpose in life.', 'During the past month, how long (in minutes) has it usually taken you to fall asleep each night?', 'I feel starved for company', 'During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?', 'During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?']"
My social relationships are superficial.,"['My physical health is excellent.', 'I lack companionship', 'I am not easily discouraged by failure.', 'My social relationships are superficial', 'I have confidence in my own opinions, even if they are different from the way most other people think.']"
"I have confidence in my social relationships, even if they are superficial.","['My physical health is excellent.', 'I lack companionship', 'I am not easily discouraged by failure.', 'My social relationships are superficial', 'I have confidence in my own opinions, even if they are different from the way most other people think.']"
"I have many friends, but they are superficial.","['My physical health is excellent.', 'I lack companionship', 'I am not easily discouraged by failure.', 'My social relationships are superficial', 'I have confidence in my own opinions, even if they are different from the way most other people think.']"
"My friends are helpful, and they are there for me when I need help.","['I expect my physical health to get worse.', 'My friends will be there for me when I need help.', 'To what extent do you feel excited and interested in things?', 'During the past month, how often have you had trouble sleeping because you cough or snore loudly?', ""I think of myself as a strong person when dealing with life's challenges and difficulties.""]"
I have plenty of friends who will be there for me when I need help.,"['I expect my physical health to get worse.', 'My friends will be there for me when I need help.', 'To what extent do you feel excited and interested in things?', 'During the past month, how often have you had trouble sleeping because you cough or snore loudly?', ""I think of myself as a strong person when dealing with life's challenges and difficulties.""]"
I get help when I need it.,"['I expect my physical health to get worse.', 'My friends will be there for me when I need help.', 'To what extent do you feel excited and interested in things?', 'During the past month, how often have you had trouble sleeping because you cough or snore loudly?', ""I think of myself as a strong person when dealing with life's challenges and difficulties.""]"
I have a good attitude about my life.,"['I expect my physical health to get worse.', 'My friends will be there for me when I need help.', 'To what extent do you feel excited and interested in things?', 'During the past month, how often have you had trouble sleeping because you cough or snore loudly?', ""I think of myself as a strong person when dealing with life's challenges and difficulties.""]"
I have a high confidence in my own abilities.,"['I expect my physical health to get worse.', 'My friends will be there for me when I need help.', 'To what extent do you feel excited and interested in things?', 'During the past month, how often have you had trouble sleeping because you cough or snore loudly?', ""I think of myself as a strong person when dealing with life's challenges and difficulties.""]"
"I always say what I think, and people find this fact attractive.","['People would describe me as a giving person, willing to share my time with others.', 'I tend to be influenced by people with strong opinions.', 'In general, I feel confident about my abilities.', 'I sometimes think I am a worthless individual.', 'Some people wander aimlessly through life, but I am not one of them.']"
"I am a compassionate, open-minded individual who feels valued.","['People would describe me as a giving person, willing to share my time with others.', 'I tend to be influenced by people with strong opinions.', 'In general, I feel confident about my abilities.', 'I sometimes think I am a worthless individual.', 'Some people wander aimlessly through life, but I am not one of them.']"
"I have a desire to achieve more, but sometimes find that I don't.","['People would describe me as a giving person, willing to share my time with others.', 'I tend to be influenced by people with strong opinions.', 'In general, I feel confident about my abilities.', 'I sometimes think I am a worthless individual.', 'Some people wander aimlessly through life, but I am not one of them.']"
"I am happy with my life in general, and enjoy socializing with friends.","['People would describe me as a giving person, willing to share my time with others.', 'I tend to be influenced by people with strong opinions.', 'In general, I feel confident about my abilities.', 'I sometimes think I am a worthless individual.', 'Some people wander aimlessly through life, but I am not one of them.']"
I often take a negative view of people.,"['People would describe me as a giving person, willing to share my time with others.', 'I tend to be influenced by people with strong opinions.', 'In general, I feel confident about my abilities.', 'I sometimes think I am a worthless individual.', 'Some people wander aimlessly through life, but I am not one of them.']"
I find things to be fun and rewarding.,"['I believe most things happen for a reason.', 'I can deal with whatever comes my way.', 'I expect my physical health to get worse.', 'I make unpopular or difficult decisions.', 'I have a strong sense of purpose in life.']"
I understand it is always a struggle to find a purpose in life.,"['I believe most things happen for a reason.', 'I can deal with whatever comes my way.', 'I expect my physical health to get worse.', 'I make unpopular or difficult decisions.', 'I have a strong sense of purpose in life.']"
I can tolerate the unknown.,"['I believe most things happen for a reason.', 'I can deal with whatever comes my way.', 'I expect my physical health to get worse.', 'I make unpopular or difficult decisions.', 'I have a strong sense of purpose in life.']"
I can handle whatever comes my way.,"['I believe most things happen for a reason.', 'I can deal with whatever comes my way.', 'I expect my physical health to get worse.', 'I make unpopular or difficult decisions.', 'I have a strong sense of purpose in life.']"
Stress causes me to be vulnerable in my life.,"['People are around me but not with me', 'Having to cope with stress can make me stronger.', 'I am always optimistic about my future.', 'In many ways I feel disappointed about my achievements in life.', 'My body seems to resist physical illness very well.']"
My positive outlook is largely attributed to exercise.,"['People are around me but not with me', 'Having to cope with stress can make me stronger.', 'I am always optimistic about my future.', 'In many ways I feel disappointed about my achievements in life.', 'My body seems to resist physical illness very well.']"
I like to feel that everyone wants to be around me. Having to cope with stress can make me stronger.,"['People are around me but not with me', 'Having to cope with stress can make me stronger.', 'I am always optimistic about my future.', 'In many ways I feel disappointed about my achievements in life.', 'My body seems to resist physical illness very well.']"
Stress is in my life. Having to cope with stress can make me stronger.,"['People are around me but not with me', 'Having to cope with stress can make me stronger.', 'I am always optimistic about my future.', 'In many ways I feel disappointed about my achievements in life.', 'My body seems to resist physical illness very well.']"
"I think I am worth pursuing, though I sometimes feel discouraged.","['My interests and ideas are not shared by those around me', 'I have confidence in my own opinions, even if they are different from the way most other people think.', 'In many ways I feel disappointed about my achievements in life.', 'I like challenges.', 'I sometimes think I am a worthless individual.']"
I am aware that I sometimes feel like I am not important in my life.,"['My interests and ideas are not shared by those around me', 'I have confidence in my own opinions, even if they are different from the way most other people think.', 'In many ways I feel disappointed about my achievements in life.', 'I like challenges.', 'I sometimes think I am a worthless individual.']"
I find it challenging to work for something that I love.,"['My interests and ideas are not shared by those around me', 'I have confidence in my own opinions, even if they are different from the way most other people think.', 'In many ways I feel disappointed about my achievements in life.', 'I like challenges.', 'I sometimes think I am a worthless individual.']"
I have no idea how long it will take me to get to sleep every night.,"['Having to cope with stress can make me stronger.', 'I can deal with whatever comes my way.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I always look on the bright side of things.', 'During the past month, how long (in minutes) has it usually taken you to fall asleep each night?']"
I am usually tired when I get up in the morning and I usually remember to wear a pair of comfy jeans.,"['Having to cope with stress can make me stronger.', 'I can deal with whatever comes my way.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I always look on the bright side of things.', 'During the past month, how long (in minutes) has it usually taken you to fall asleep each night?']"
I am more calm and calmer than I used to be when it comes to getting a good night's sleep.,"['Having to cope with stress can make me stronger.', 'I can deal with whatever comes my way.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I always look on the bright side of things.', 'During the past month, how long (in minutes) has it usually taken you to fall asleep each night?']"
Having to deal with stress can make me strong.,"['Having to cope with stress can make me stronger.', 'I can deal with whatever comes my way.', 'During the past month, how often have you had trouble sleeping because you feel too cold?', 'I always look on the bright side of things.', 'During the past month, how long (in minutes) has it usually taken you to fall asleep each night?']"
I don't like having my family take care of me.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'I avoid activities which require me to concentrate.', 'How often do you achieve the important goals you have set for yourself?', 'I have nobody to talk to', 'I judge myself by what I think is important, not by the values of what others think is important.']"
I judge myself to be a happy person.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'I avoid activities which require me to concentrate.', 'How often do you achieve the important goals you have set for yourself?', 'I have nobody to talk to', 'I judge myself by what I think is important, not by the values of what others think is important.']"
I feel unsure about my future.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'I avoid activities which require me to concentrate.', 'How often do you achieve the important goals you have set for yourself?', 'I have nobody to talk to', 'I judge myself by what I think is important, not by the values of what others think is important.']"
I have no friends and no family for support.,"['Sometimes I wonder if my family will really be there for me when I am in need.', 'I avoid activities which require me to concentrate.', 'How often do you achieve the important goals you have set for yourself?', 'I have nobody to talk to', 'I judge myself by what I think is important, not by the values of what others think is important.']"
"When I had a problem with my mood, I tried and failed.","['Even when hopeless, I do not give up.', 'How often do you become absorbed in what you are doing?', 'During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?', 'My life has often seemed void of positive mental stimulation.', 'I feel isolated from others']"
I feel isolated from others.,"['Even when hopeless, I do not give up.', 'How often do you become absorbed in what you are doing?', 'During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?', 'My life has often seemed void of positive mental stimulation.', 'I feel isolated from others']"
I am socially awkward.,"['Even when hopeless, I do not give up.', 'How often do you become absorbed in what you are doing?', 'During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?', 'My life has often seemed void of positive mental stimulation.', 'I feel isolated from others']"
I am trying to do something positive in my life.,"['Even when hopeless, I do not give up.', 'How often do you become absorbed in what you are doing?', 'During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?', 'My life has often seemed void of positive mental stimulation.', 'I feel isolated from others']"
I feel good about myself.,"['Sometimes fate or God helps me.', 'It is difficult for me to make friends', 'There have been times when I felt inferior to most of the people I knew.', 'Compared to others of your same age and sex, how is your health?', 'How often do you achieve the important goals you have set for yourself?']"
There are times when I feel like the one in the crowd or at a movie theater.,"['Sometimes fate or God helps me.', 'It is difficult for me to make friends', 'There have been times when I felt inferior to most of the people I knew.', 'Compared to others of your same age and sex, how is your health?', 'How often do you achieve the important goals you have set for yourself?']"
