text,dimension_model,dimensions,scores,delta
"I feel tired, sleepless, and lonely.",ChatGPT-5.2,"['Physical', 'Emotional', 'Environmental']","[0.2499309629201889, 0.21642746031284332, 0.20379094779491425]",0.05
I try to achieve my goals.,ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.3198156952857971, 0.31325235962867737]",0.05
In many ways I feel frustrated about my achievements in life.,ChatGPT-5.2,['Intellectual'],[0.3128584623336792],0.05
The amount of stress I feel in my life is quite normal.,ChatGPT-5.2,['Emotional'],[0.30228298902511597],0.05
"In the past, I have received the best.",ChatGPT-5.2,"['Spiritual', 'Emotional']","[0.12279157340526581, 0.10779296606779099]",0.05
I tend to feel insecure about my abilities and I have difficulty being loved by others.,ChatGPT-5.2,['Social'],[0.40413761138916016],0.05
I feel lonely,ChatGPT-5.2,['Social'],[0.24609465897083282],0.05
I feel cynical about my skills.,ChatGPT-5.2,['Intellectual'],[0.41269516944885254],0.05
I have problems in my personal relationships.,ChatGPT-5.2,['Social'],[0.27136117219924927],0.05
I know my family and friends will always love me and will be there for me if I need them.,ChatGPT-5.2,"['Social', 'Emotional', 'Spiritual']","[0.22415044903755188, 0.17573553323745728, 0.1750723421573639]",0.05
I find that being alone can make me feel bad.,ChatGPT-5.2,"['Social', 'Emotional']","[0.3055442273616791, 0.2664410173892975]",0.05
I never feel comfortable sharing my family life with others.,ChatGPT-5.2,['Social'],[0.2829751968383789],0.05
I am not satisfied with my relationships with my family or friends.,ChatGPT-5.2,['Social'],[0.27238187193870544],0.05
I try to see the funny side of things.,ChatGPT-5.2,"['Intellectual', 'Emotional', 'Spiritual']","[0.1640191376209259, 0.13783220946788788, 0.11417245119810104]",0.05
I think most problems that I encounter are related to a person who is self-centered.,ChatGPT-5.2,"['Social', 'Intellectual']","[0.3661215901374817, 0.31860318779945374]",0.05
I try to see the positive side of things when faced with challenges.,ChatGPT-5.2,"['Spiritual', 'Emotional']","[0.3265376091003418, 0.27972713112831116]",0.05
I always look on the bright side of things when I am faced with problems.,ChatGPT-5.2,"['Emotional', 'Occupational', 'Intellectual', 'Spiritual']","[0.2670035660266876, 0.23107962310314178, 0.2300666719675064, 0.21931888163089752]",0.05
I sometimes feel as if I have done all there is to do in life.,ChatGPT-5.2,['Occupational'],[0.37599989771842957],0.05
"I feel as if I've done all there is to do in life and this is a negative thought, as my own personal experiences have",ChatGPT-5.2,['Occupational'],[0.3495236039161682],0.05
I think I might be in an 'ok place'.,ChatGPT-5.2,['Environmental'],[0.3871578276157379],0.05
I feel like I've never accomplished anything.,ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.24444203078746796, 0.20671199262142181]",0.05
I am able to handle the demands of everyday life.,ChatGPT-5.2,['Occupational'],[0.4095492362976074],0.05
"I am capable of managing unpleasant or painful feelings like sadness, fear, and anger.",ChatGPT-5.2,['Emotional'],[0.5167677998542786],0.05
I am comfortable being alone.,ChatGPT-5.2,"['Social', 'Environmental']","[0.3245987594127655, 0.3058464527130127]",0.05
I believe that life has a purpose.,ChatGPT-5.2,['Occupational'],[0.301430881023407],0.05
I appreciate the amount of intellectual stimulation I receive in my daily life.,ChatGPT-5.2,['Intellectual'],[0.5569145679473877],0.05
"Generally, I feel satisfied with my personal life and the amount of intellectual stimulation I receive in my daily life.",ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.4695878028869629, 0.43438416719436646]",0.05
I believe my life's journey should have a purpose.,ChatGPT-5.2,['Occupational'],[0.4266062080860138],0.05
I enjoy writing.,ChatGPT-5.2,['Intellectual'],[0.29310065507888794],0.05
I tend to be anxious and scared.,ChatGPT-5.2,['Emotional'],[0.31090229749679565],0.05
I am unable to reach out and communicate with those around me.,ChatGPT-5.2,"['Spiritual', 'Social']","[0.2155088186264038, 0.1862158477306366]",0.05
I try to stay positive and work through difficulties,ChatGPT-5.2,['Occupational'],[0.3772284984588623],0.05
I work to achieve goals.,ChatGPT-5.2,['Occupational'],[0.4298458695411682],0.05
I am very successful at work and have a stable income.,ChatGPT-5.2,"['Occupational', 'Financial']","[0.298531711101532, 0.2927573621273041]",0.05
I am good at managing responsibilities of daily life.,ChatGPT-5.2,['Occupational'],[0.4769192337989807],0.05
I am lonely.,ChatGPT-5.2,['Social'],[0.2165001779794693],0.05
I have a desire to have sex with someone.,ChatGPT-5.2,"['Social', 'Occupational', 'Spiritual', 'Environmental']","[0.12910619378089905, 0.09876252710819244, 0.09359066933393478, 0.08997226506471634]",0.05
I would do better if I could have a friend to talk to.,ChatGPT-5.2,['Social'],[0.17432431876659393],0.05
Maintaining close relationships has been challenging and frustrating for me.,ChatGPT-5.2,['Social'],[0.32537487149238586],0.05
I scream at friends after I tell them they can't talk to me.,ChatGPT-5.2,"['Social', 'Emotional']","[0.1476021558046341, 0.10636630654335022]",0.05
I am healthy in my relationships and relationships can be difficult but I am strong and confident.,ChatGPT-5.2,"['Social', 'Physical']","[0.32474973797798157, 0.27501779794692993]",0.05
I have been very frank about my shortcomings.,ChatGPT-5.2,['Intellectual'],[0.24778732657432556],0.05
Maintaining close relationships has been more rewarding than the last time.,ChatGPT-5.2,['Social'],[0.29616042971611023],0.05
I don't know where my next big project will take me.,ChatGPT-5.2,"['Intellectual', 'Environmental']","[0.16868118941783905, 0.1313980519771576]",0.05
I have been dealing with depression and anxiety.,ChatGPT-5.2,"['Emotional', 'Environmental']","[0.24673117697238922, 0.1984899938106537]",0.05
I hope I have a friend who can help me when I feel stressed and need support.,ChatGPT-5.2,['Emotional'],[0.24766315519809723],0.05
"I hope to have good health, good friends and good chances.",ChatGPT-5.2,"['Physical', 'Social', 'Occupational', 'Spiritual', 'Environmental']","[0.2298896610736847, 0.22694064676761627, 0.22183364629745483, 0.21236760914325714, 0.20449498295783997]",0.05
I am able to have a productive day without being stressed out by life's issues.,ChatGPT-5.2,"['Occupational', 'Environmental', 'Intellectual']","[0.351727157831192, 0.31712883710861206, 0.30616992712020874]",0.05
I believe that I can still make the best choices for myself and my life.,ChatGPT-5.2,"['Financial', 'Social', 'Emotional', 'Physical', 'Occupational', 'Spiritual', 'Intellectual']","[0.2479255348443985, 0.23304085433483124, 0.2225027233362198, 0.21557481586933136, 0.21239030361175537, 0.20818541944026947, 0.20448458194732666]",0.05
I am able to trust others when they tell me how to live my life.,ChatGPT-5.2,['Social'],[0.40899062156677246],0.05
I believe that my own opinion matters more than other peoples.,ChatGPT-5.2,"['Spiritual', 'Social', 'Intellectual']","[0.23448605835437775, 0.22410430014133453, 0.1886657029390335]",0.05
"I feel anxious about my emotions, especially when they are related to work or relationships.",ChatGPT-5.2,['Emotional'],[0.4898644983768463],0.05
I have been happy with my current situation.,ChatGPT-5.2,"['Emotional', 'Occupational']","[0.21387356519699097, 0.1986711025238037]",0.05
My social relationships are superficial.,ChatGPT-5.2,['Social'],[0.4260762929916382],0.05
"I have confidence in my social relationships, even if they are superficial.",ChatGPT-5.2,['Social'],[0.4793604612350464],0.05
"I have many friends, but they are superficial.",ChatGPT-5.2,['Social'],[0.2619277834892273],0.05
"My friends are helpful, and they are there for me when I need help.",ChatGPT-5.2,"['Social', 'Spiritual']","[0.21917767822742462, 0.1795637607574463]",0.05
I have plenty of friends who will be there for me when I need help.,ChatGPT-5.2,['Social'],[0.21340680122375488],0.05
I get help when I need it.,ChatGPT-5.2,"['Intellectual', 'Spiritual', 'Social', 'Emotional', 'Financial', 'Physical']","[0.1672903597354889, 0.16085590422153473, 0.13541986048221588, 0.12952713668346405, 0.12240371108055115, 0.11985597014427185]",0.05
I have a good attitude about my life.,ChatGPT-5.2,"['Social', 'Occupational', 'Environmental', 'Spiritual']","[0.28251588344573975, 0.2774154543876648, 0.2531869411468506, 0.24073021113872528]",0.05
I have a high confidence in my own abilities.,ChatGPT-5.2,"['Social', 'Intellectual']","[0.2862701117992401, 0.2816365659236908]",0.05
"I always say what I think, and people find this fact attractive.",ChatGPT-5.2,"['Physical', 'Social']","[0.18988141417503357, 0.17789076268672943]",0.05
"I am a compassionate, open-minded individual who feels valued.",ChatGPT-5.2,['Spiritual'],[0.39389893412590027],0.05
"I have a desire to achieve more, but sometimes find that I don't.",ChatGPT-5.2,"['Intellectual', 'Occupational']","[0.3346131145954132, 0.3065163493156433]",0.05
"I am happy with my life in general, and enjoy socializing with friends.",ChatGPT-5.2,['Social'],[0.45684006810188293],0.05
I often take a negative view of people.,ChatGPT-5.2,"['Emotional', 'Spiritual', 'Social']","[0.2661985456943512, 0.2655439078807831, 0.23483522236347198]",0.05
I find things to be fun and rewarding.,ChatGPT-5.2,"['Intellectual', 'Occupational']","[0.356961190700531, 0.3478611409664154]",0.05
I understand it is always a struggle to find a purpose in life.,ChatGPT-5.2,['Occupational'],[0.4117022752761841],0.05
I can tolerate the unknown.,ChatGPT-5.2,['Intellectual'],[0.24939961731433868],0.05
I can handle whatever comes my way.,ChatGPT-5.2,['Financial'],[0.2681652009487152],0.05
Stress causes me to be vulnerable in my life.,ChatGPT-5.2,['Emotional'],[0.3709280788898468],0.05
My positive outlook is largely attributed to exercise.,ChatGPT-5.2,['Physical'],[0.3522423505783081],0.05
I like to feel that everyone wants to be around me. Having to cope with stress can make me stronger.,ChatGPT-5.2,['Social'],[0.38469213247299194],0.05
Stress is in my life. Having to cope with stress can make me stronger.,ChatGPT-5.2,['Emotional'],[0.31174448132514954],0.05
"I think I am worth pursuing, though I sometimes feel discouraged.",ChatGPT-5.2,['Intellectual'],[0.32249879837036133],0.05
I am aware that I sometimes feel like I am not important in my life.,ChatGPT-5.2,"['Social', 'Occupational', 'Intellectual', 'Emotional']","[0.3172144293785095, 0.3033192455768585, 0.3015841543674469, 0.27662649750709534]",0.05
I find it challenging to work for something that I love.,ChatGPT-5.2,['Occupational'],[0.43190082907676697],0.05
I have no idea how long it will take me to get to sleep every night.,ChatGPT-5.2,"['Environmental', 'Physical', 'Occupational', 'Intellectual', 'Spiritual']","[0.062445566058158875, 0.04747708886861801, 0.04244132339954376, 0.024838091805577278, 0.018565870821475983]",0.05
I am usually tired when I get up in the morning and I usually remember to wear a pair of comfy jeans.,ChatGPT-5.2,['Physical'],[0.18679453432559967],0.05
I am more calm and calmer than I used to be when it comes to getting a good night's sleep.,ChatGPT-5.2,['Emotional'],[0.32323020696640015],0.05
Having to deal with stress can make me strong.,ChatGPT-5.2,['Emotional'],[0.32843583822250366],0.05
I don't like having my family take care of me.,ChatGPT-5.2,"['Social', 'Environmental', 'Financial']","[0.14279377460479736, 0.13918040692806244, 0.09461168944835663]",0.05
I judge myself to be a happy person.,ChatGPT-5.2,"['Emotional', 'Social', 'Occupational']","[0.30501407384872437, 0.2761843502521515, 0.26879993081092834]",0.05
I feel unsure about my future.,ChatGPT-5.2,"['Intellectual', 'Financial']","[0.23766662180423737, 0.22550562024116516]",0.05
I have no friends and no family for support.,ChatGPT-5.2,['Social'],[0.18843819200992584],0.05
"When I had a problem with my mood, I tried and failed.",ChatGPT-5.2,['Emotional'],[0.26433467864990234],0.05
I feel isolated from others.,ChatGPT-5.2,['Social'],[0.4002106785774231],0.05
I am socially awkward.,ChatGPT-5.2,['Social'],[0.3532088100910187],0.05
I am trying to do something positive in my life.,ChatGPT-5.2,"['Spiritual', 'Intellectual', 'Occupational', 'Social', 'Emotional']","[0.2738686203956604, 0.27027907967567444, 0.25532740354537964, 0.24239176511764526, 0.23962858319282532]",0.05
I feel good about myself.,ChatGPT-5.2,"['Physical', 'Spiritual']","[0.2974937856197357, 0.2712656557559967]",0.05
There are times when I feel like the one in the crowd or at a movie theater.,ChatGPT-5.2,"['Environmental', 'Social', 'Emotional']","[0.2118811160326004, 0.21028797328472137, 0.17311570048332214]",0.05
It has been difficult to make friends with many people.,ChatGPT-5.2,['Social'],[0.34656521677970886],0.05
I have experienced many life changes and changes in my life.,ChatGPT-5.2,"['Spiritual', 'Emotional', 'Environmental']","[0.3619219660758972, 0.3447732627391815, 0.3222123980522156]",0.05
My body is strong.,ChatGPT-5.2,['Physical'],[0.40988239645957947],0.05
I feel happy about my work.,ChatGPT-5.2,['Occupational'],[0.36755040287971497],0.05
I feel happy.,ChatGPT-5.2,['Emotional'],[0.25418782234191895],0.05
I feel unable to make friends because I am always alone,ChatGPT-5.2,['Social'],[0.3696464002132416],0.05
I am experiencing some life-altering problems.,ChatGPT-5.2,['Environmental'],[0.2722741663455963],0.05
"I am content doing so many things alone - Life is not very exciting for me, but it does not hold much hope.",ChatGPT-5.2,['Occupational'],[0.3159966766834259],0.05
I am happy doing so many things alone,ChatGPT-5.2,"['Occupational', 'Social', 'Physical', 'Emotional']","[0.22567115724086761, 0.21429851651191711, 0.18667367100715637, 0.18353471159934998]",0.05
I am lonely doing so much alone,ChatGPT-5.2,"['Social', 'Occupational', 'Environmental', 'Physical']","[0.1963731348514557, 0.16237255930900574, 0.15981034934520721, 0.15913517773151398]",0.05
I am satisfied with the amount of information I have been able to process so far.,ChatGPT-5.2,"['Occupational', 'Financial', 'Intellectual']","[0.19826462864875793, 0.19745256006717682, 0.16412286460399628]",0.05
I am often sad.,ChatGPT-5.2,['Emotional'],[0.31305786967277527],0.05
I always think of the future.,ChatGPT-5.2,"['Financial', 'Intellectual']","[0.25340932607650757, 0.2045634388923645]",0.05
I live life one day at a time and think about the future a lot.,ChatGPT-5.2,"['Intellectual', 'Spiritual']","[0.2683335244655609, 0.22161395847797394]",0.05
I am confident in who I am.,ChatGPT-5.2,"['Social', 'Intellectual']","[0.27368399500846863, 0.2268858104944229]",0.05
I get so many people to know me that the others often don't even know me well.,ChatGPT-5.2,['Social'],[0.24689452350139618],0.05
I am confident that I am a good person.,ChatGPT-5.2,['Social'],[0.3116816282272339],0.05
I would rank the past month's sleep quality overall as good overall.,ChatGPT-5.2,['Environmental'],[0.2084076702594757],0.05
"In general, I think most things happen for a reason.",ChatGPT-5.2,"['Emotional', 'Spiritual']","[0.21101024746894836, 0.17774879932403564]",0.05
I think that most things happen for a reason.,ChatGPT-5.2,"['Emotional', 'Spiritual', 'Environmental']","[0.18714763224124908, 0.16674570739269257, 0.13755807280540466]",0.05
I am stressed and feel out of balance.,ChatGPT-5.2,['Emotional'],[0.2863632142543793],0.05
I expect to be physically healthy in the future.,ChatGPT-5.2,['Physical'],[0.4922176003456116],0.05
I have an anxiety attack that affects my life.,ChatGPT-5.2,['Emotional'],[0.27834177017211914],0.05
I am confident that I am in control of my life.,ChatGPT-5.2,"['Social', 'Financial', 'Intellectual', 'Physical', 'Emotional', 'Environmental']","[0.23058921098709106, 0.2203637808561325, 0.20738336443901062, 0.20002368092536926, 0.1861024796962738, 0.18099521100521088]",0.05
I have a strong sense of purpose in my life.,ChatGPT-5.2,"['Occupational', 'Spiritual']","[0.4278254508972168, 0.3856510818004608]",0.05
I am able to communicate and express myself.,ChatGPT-5.2,"['Spiritual', 'Emotional', 'Social']","[0.36069971323013306, 0.33946341276168823, 0.32160428166389465]",0.05
I am satisfied with my life.,ChatGPT-5.2,['Occupational'],[0.40150079131126404],0.05
I am resilient in the face of difficult situations.,ChatGPT-5.2,['Emotional'],[0.38328981399536133],0.05
I appreciate positive and positive people in my life.,ChatGPT-5.2,"['Spiritual', 'Social']","[0.3353697955608368, 0.3051985502243042]",0.05
"I am confident that I can handle unpleasant or painful feelings like sadness, fear, and anger.",ChatGPT-5.2,['Emotional'],[0.48037320375442505],0.05
I am very grateful for what I have and am satisfied with most parts of my life.,ChatGPT-5.2,['Occupational'],[0.3713811933994293],0.05
I will always strive to do better in what I do.,ChatGPT-5.2,['Occupational'],[0.3886519968509674],0.05
I am always optimistic about the things that keep me from feeling depressed.,ChatGPT-5.2,['Emotional'],[0.3306676149368286],0.05
I am never too old to laugh.,ChatGPT-5.2,"['Intellectual', 'Social']","[0.06671610474586487, 0.032539594918489456]",0.05
Often I get in trouble for making my own decisions.,ChatGPT-5.2,['Financial'],[0.31547489762306213],0.05
I am feeling lonely and overwhelmed.,ChatGPT-5.2,"['Emotional', 'Social', 'Occupational', 'Intellectual', 'Environmental']","[0.21382449567317963, 0.19288410246372223, 0.1872842162847519, 0.16880515217781067, 0.16500583291053772]",0.05
"In the past, I rarely did anything to expect to go my way.",ChatGPT-5.2,"['Spiritual', 'Social', 'Environmental', 'Financial', 'Occupational']","[0.11732783168554306, 0.09107771515846252, 0.0846659392118454, 0.08103997260332108, 0.08072225749492645]",0.05
I am able to deal with any challenges I encounter.,ChatGPT-5.2,"['Emotional', 'Occupational', 'Intellectual', 'Spiritual']","[0.24602921307086945, 0.2328965663909912, 0.2262950837612152, 0.22476743161678314]",0.05
"I am a leader, I feel so confident, but I can't handle being so alone.",ChatGPT-5.2,['Social'],[0.35257118940353394],0.05
I tend to overcome major life challenges with greater stability and peace.,ChatGPT-5.2,"['Emotional', 'Intellectual', 'Social', 'Occupational', 'Spiritual']","[0.3253311812877655, 0.3189537227153778, 0.3044644296169281, 0.285183310508728, 0.28067487478256226]",0.05
I am very resilient.,ChatGPT-5.2,['Emotional'],[0.29679346084594727],0.05
I am resilient and will be able to handle any challenge or stress in life.,ChatGPT-5.2,['Emotional'],[0.39026856422424316],0.05
"I struggle to adjust to new situations, new people, and new environments.",ChatGPT-5.2,"['Environmental', 'Social', 'Emotional']","[0.360152006149292, 0.33506685495376587, 0.32861757278442383]",0.05
I have always fought for what I believe in.,ChatGPT-5.2,['Spiritual'],[0.2770383656024933],0.05
I am in control of my life.,ChatGPT-5.2,['Financial'],[0.22534792125225067],0.05
I find it hard to interact with those around me.,ChatGPT-5.2,"['Social', 'Environmental', 'Spiritual']","[0.22813066840171814, 0.21976448595523834, 0.18265187740325928]",0.05
Sometimes I am unable to reach out and communicate with those around me,ChatGPT-5.2,"['Social', 'Spiritual']","[0.20698529481887817, 0.20661190152168274]",0.05
I don't feel like myself.,ChatGPT-5.2,"['Social', 'Spiritual', 'Environmental', 'Emotional']","[0.1559341996908188, 0.12355105578899384, 0.1205548346042633, 0.1080954372882843]",0.05
Sometimes I feel alone in my life.,ChatGPT-5.2,"['Social', 'Emotional', 'Spiritual']","[0.28123223781585693, 0.25813132524490356, 0.2313331961631775]",0.05
I feel happy that I can make it in the world.,ChatGPT-5.2,"['Occupational', 'Emotional']","[0.26369938254356384, 0.21699833869934082]",0.05
I feel a sense of responsibility about my future.,ChatGPT-5.2,['Financial'],[0.349433571100235],0.05
"When I try to achieve my goals, I may not accomplish what I would like to do.",ChatGPT-5.2,"['Intellectual', 'Financial', 'Occupational', 'Physical']","[0.250193327665329, 0.22988122701644897, 0.226093590259552, 0.21006138622760773]",0.05
I believe my choices will be beneficial.,ChatGPT-5.2,"['Intellectual', 'Financial', 'Environmental', 'Occupational']","[0.21665729582309723, 0.18140847980976105, 0.18136687576770782, 0.1667979508638382]",0.05
I'm hopeful that I'll accomplish my dreams.,ChatGPT-5.2,"['Intellectual', 'Occupational']","[0.2284073531627655, 0.18376968801021576]",0.05
I enjoy taking the time to think about the future.,ChatGPT-5.2,['Intellectual'],[0.3358512222766876],0.05
I am optimistic in my future self.,ChatGPT-5.2,"['Financial', 'Intellectual', 'Spiritual', 'Physical', 'Occupational', 'Social']","[0.24134987592697144, 0.232183575630188, 0.2269468754529953, 0.20496979355812073, 0.19983737170696259, 0.19611012935638428]",0.05
I focus on the present and can live life to the fullest without concern for the future.,ChatGPT-5.2,"['Intellectual', 'Occupational']","[0.33310264348983765, 0.28986653685569763]",0.05
I have a single devoted boyfriend,ChatGPT-5.2,['Social'],[0.19666209816932678],0.05
I am very content in my current relationship.,ChatGPT-5.2,['Social'],[0.2880544364452362],0.05
I am happy being so withdrawn.,ChatGPT-5.2,"['Emotional', 'Social', 'Intellectual']","[0.18207445740699768, 0.14778415858745575, 0.1433810293674469]",0.05
I am not afraid of being disappointed.,ChatGPT-5.2,"['Intellectual', 'Social', 'Emotional']","[0.03602542355656624, 0.00917068962007761, 0.008060770109295845]",0.05
I am often influenced by others.,ChatGPT-5.2,"['Spiritual', 'Social']","[0.30608296394348145, 0.29435446858406067]",0.05
I am not often discouraged by failure.,ChatGPT-5.2,['Intellectual'],[0.2622765600681305],0.05
"I believe I need support from my family members and friends, but it is difficult for me to make friends.",ChatGPT-5.2,['Social'],[0.313487708568573],0.05
"I have had trouble staying awake while driving, eating meals, or engaging in social activity.",ChatGPT-5.2,"['Physical', 'Environmental']","[0.22775475680828094, 0.2122407853603363]",0.05
"I am lonely. I cannot connect with my loved ones, and my life is often void of positive mental stimulation.",ChatGPT-5.2,"['Social', 'Spiritual', 'Emotional', 'Environmental']","[0.2697952687740326, 0.2571868300437927, 0.22532548010349274, 0.22194285690784454]",0.05
I know it can be difficult to cope with failures.,ChatGPT-5.2,"['Emotional', 'Social']","[0.2217891812324524, 0.1718830019235611]",0.05
I am a strong and resilient person.,ChatGPT-5.2,['Emotional'],[0.35470834374427795],0.05
I can't communicate in an effective way,ChatGPT-5.2,"['Spiritual', 'Emotional', 'Social', 'Intellectual', 'Environmental']","[0.17315293848514557, 0.17010365426540375, 0.1557997763156891, 0.1511717140674591, 0.13852347433567047]",0.05
I feel lonely and feel like I am always left alone in my daily life.,ChatGPT-5.2,"['Social', 'Environmental', 'Occupational']","[0.2769011855125427, 0.25989237427711487, 0.22836534678936005]",0.05
I have no friends or family close by.,ChatGPT-5.2,"['Social', 'Environmental']","[0.19895553588867188, 0.16561777889728546]",0.05
I am a successful person.,ChatGPT-5.2,"['Occupational', 'Social']","[0.3380621671676636, 0.32389676570892334]",0.05
I'm still finding my purpose and purpose in life.,ChatGPT-5.2,['Occupational'],[0.3721594512462616],0.05
I enjoy being a part of my community and socializing.,ChatGPT-5.2,['Social'],[0.4701623022556305],0.05
I sometimes think I have done enough.,ChatGPT-5.2,"['Financial', 'Intellectual', 'Occupational']","[0.1908133625984192, 0.17292208969593048, 0.1486436277627945]",0.05
I sometimes think I have done all there is to do in life and I sometimes feel as if I've done all I can in life.,ChatGPT-5.2,['Occupational'],[0.35622715950012207],0.05
I sometimes feel like I am a failed person.,ChatGPT-5.2,"['Emotional', 'Social', 'Intellectual', 'Occupational']","[0.21756599843502045, 0.19715234637260437, 0.18263240158557892, 0.17963819205760956]",0.05
I sometimes feel as if I have already done all there is to do in life.,ChatGPT-5.2,"['Occupational', 'Intellectual']","[0.3333110213279724, 0.29596251249313354]",0.05
I can handle my responsibilities.,ChatGPT-5.2,"['Occupational', 'Financial']","[0.340859979391098, 0.33205556869506836]",0.05
I feel able to cope with change.,ChatGPT-5.2,['Emotional'],[0.3128906190395355],0.05
I am able to handle my responsibilities.,ChatGPT-5.2,"['Occupational', 'Financial']","[0.37542688846588135, 0.3380720019340515]",0.05
I have a feeling of direction in my life.,ChatGPT-5.2,['Spiritual'],[0.37548309564590454],0.05
I feel as if nobody understands me,ChatGPT-5.2,"['Intellectual', 'Spiritual', 'Social', 'Emotional']","[0.25166139006614685, 0.2306532859802246, 0.21897608041763306, 0.21212799847126007]",0.05
I am able to understand the meaning of life.,DeepSeek-V3.2,['Spiritual'],[0.4556441605091095],0.05
I lead a meaningful and purposeful life.,DeepSeek-V3.2,"['Spiritual', 'Intellectual']","[0.4151044487953186, 0.3750370144844055]",0.05
I find that my mental health improves and that my life is meaningful.,DeepSeek-V3.2,"['Spiritual', 'Intellectual', 'Emotional']","[0.4359857738018036, 0.4318610429763794, 0.4068587124347687]",0.05
I feel fulfilled in my life.,DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.40813499689102173, 0.3898716866970062]",0.05
I sometimes feel sad or depressed.,DeepSeek-V3.2,['Emotional'],[0.4138118326663971],0.05
"In general, I am not as mentally healthy as other people.",DeepSeek-V3.2,['Physical'],[0.35262030363082886],0.05
I always have been well with my physical health.,DeepSeek-V3.2,['Physical'],[0.5837915539741516],0.05
I have a good relationship with my parents.,DeepSeek-V3.2,['Social'],[0.4344732463359833],0.05
Sometimes I do not understand why people are attracted to me compared to other people.,DeepSeek-V3.2,['Social'],[0.38272973895072937],0.05
I am generally confident about my ability to help people.,DeepSeek-V3.2,"['Social', 'Intellectual']","[0.3720123767852783, 0.34442102909088135]",0.05
It is important to me that I feel happy and confident in the sphere of my own life.,DeepSeek-V3.2,"['Social', 'Intellectual', 'Emotional', 'Occupational']","[0.4155961275100708, 0.41199955344200134, 0.4064925014972687, 0.3864001929759979]",0.05
My social interaction does not interfere with my ability to feel and function well.,DeepSeek-V3.2,['Social'],[0.48942831158638],0.05
My day is fairly balanced.,DeepSeek-V3.2,['Occupational'],[0.21971742808818817],0.05
I do not have any issues with focusing.,DeepSeek-V3.2,"['Intellectual', 'Physical']","[0.1658119112253189, 0.1240202933549881]",0.05
