qid,text,seeds,status,reject_reason
PWB_15,I tend to be influenced by people with strong opinions.,[],seed,
PWB_16,I have not experienced many warm and trusting relationships with others.,[],seed,
PWB_17,"I have confidence in my own opinions, even if they are different from the way most other people think.",[],seed,
PWB_18,"I judge myself by what I think is important, not by the values of what others think is important.",[],seed,
PWS_1,I am always optimistic about my future.,[],seed,
PWS_2,There have been times when I felt inferior to most of the people I knew.,[],seed,
PWS_3,Members of my family come to me for support.,[],seed,
PWS_4,My physical health has restricted me in the past.,[],seed,
PWS_5,I believe there is a real purpose for my life.,[],seed,
PWS_6,I will always seek out activities that challenge me to think and reason.,[],seed,
PWS_7,I rarely count on good things happening to me.,[],seed,
PWS_8,"In general, I feel confident about my abilities.",[],seed,
PWS_9,Sometimes I wonder if my family will really be there for me when I am in need.,[],seed,
PWS_10,My body seems to resist physical illness very well.,[],seed,
PWS_11,Life does not hold much future promise for me.,[],seed,
PWS_12,I avoid activities which require me to concentrate.,[],seed,
PWS_13,I always look on the bright side of things.,[],seed,
PWS_14,I sometimes think I am a worthless individual.,[],seed,
PWS_15,My friends know they can always confide in me and ask me for advice.,[],seed,
PWS_16,My physical health is excellent.,[],seed,
PWS_17,Sometimes I don't understand what life is all about.,[],seed,
PWS_18,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",[],seed,
PWS_19,"In the past, I have expected the best.",[],seed,
PWS_20,I am uncertain about my ability to do things well in the future.,[],seed,
PWS_21,My family has been available to support me in the past.,[],seed,
PWS_22,"Compared to people I know, my past physical health has been excellent.",[],seed,
PWS_23,I feel a sense of mission about my future.,[],seed,
PWS_24,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,[],seed,
PWS_25,"In the past, I hardly ever expected things to go my way.",[],seed,
PWS_26,I will always be secure with who I am.,[],seed,
PWS_27,"In the past, I have not always had friends with whom I could share my joys and sorrows.",[],seed,
PWS_28,I expect to always be physically healthy.,[],seed,
PWS_29,I have felt in the past that my life was meaningless.,[],seed,
PWS_30,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",[],seed,
PWS_31,Things will not work out the way I want them to in the future.,[],seed,
PWS_32,"In the past, I have felt sure of myself among strangers.",[],seed,
PWS_33,My friends will be there for me when I need help.,[],seed,
PWS_34,I expect my physical health to get worse.,[],seed,
PWS_35,It seems that my life has always had purpose.,[],seed,
PWS_36,My life has often seemed void of positive mental stimulation.,[],seed,
UCLA_1,I am unhappy doing so many things alone,[],seed,
UCLA_2,I have nobody to talk to,[],seed,
UCLA_3,I cannot tolerate being so alone,[],seed,
UCLA_4,I lack companionship,[],seed,
UCLA_5,I feel as if nobody really understands me,[],seed,
UCLA_6,I find myself waiting for people to call or write,[],seed,
UCLA_7,There is no one I can turn to,[],seed,
UCLA_8,I am no longer close to anyone,[],seed,
UCLA_9,My interests and ideas are not shared by those around me,[],seed,
UCLA_10,I feel left out,[],seed,
UCLA_11,I feel completely alone,[],seed,
UCLA_12,I am unable to reach out and communicate with those around me,[],seed,
UCLA_13,My social relationships are superficial,[],seed,
UCLA_14,I feel starved for company,[],seed,
UCLA_15,No one really knows me well,[],seed,
UCLA_16,I feel isolated from others,[],seed,
UCLA_17,I am unhappy being so withdrawn,[],seed,
UCLA_18,It is difficult for me to make friends,[],seed,
UCLA_19,I feel shut out and excluded by others,[],seed,
UCLA_20,People are around me but not with me,[],seed,
gen_0_0,"During the past month, how much of the time do you feel you are making progress towards accomplishing your goals?","[""No one really knows me well"", ""During the past month, what time have you usually gone to bed at night?"", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""Compared to people I know, my past physical health has been excellent.""]",kept,
gen_0_1,"During the past month, how many hours of the day do you feel you are making progress towards accomplishing your goals?","[""No one really knows me well"", ""During the past month, what time have you usually gone to bed at night?"", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""Compared to people I know, my past physical health has been excellent.""]",kept,
gen_0_2,How much time do you feel you are making progress towards accomplishing your goals?,"[""No one really knows me well"", ""During the past month, what time have you usually gone to bed at night?"", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""Compared to people I know, my past physical health has been excellent.""]",kept,
gen_1_0,How much time has you been putting into your goals in the past month?,"[""I am unhappy doing so many things alone"", ""My interests and ideas are not shared by those around me"", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""During the past month, what time have you usually gone to bed at night?"", ""How much time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_1_1,How often have you had trouble sleeping and hurt yourself?,"[""I am unhappy doing so many things alone"", ""My interests and ideas are not shared by those around me"", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""During the past month, what time have you usually gone to bed at night?"", ""How much time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_2_0,I am happy I live life one day at a time.,"[""I expect to always be physically healthy."", ""I have a strong sense of purpose in life."", ""I live life one day at a time and don't really think about the future."", ""My friends will be there for me when I need help."", ""During the past month, how much of the time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_2_1,I am able to live life on my own and know that I can achieve my goals.,"[""I expect to always be physically healthy."", ""I have a strong sense of purpose in life."", ""I live life one day at a time and don't really think about the future."", ""My friends will be there for me when I need help."", ""During the past month, how much of the time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_3_0,I feel I have made progress towards accomplishing my goals.,"[""During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?"", ""I feel as if nobody really understands me"", ""How satisfied are you with your current physical health?"", ""In times of stress, I know where to find help."", ""During the past month, how much of the time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_3_1,You need to focus on doing the things you enjoy and feel a part of.,"[""During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?"", ""I feel as if nobody really understands me"", ""How satisfied are you with your current physical health?"", ""In times of stress, I know where to find help."", ""During the past month, how much of the time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_4_0,How often do you have to worry that you have to take care of yourself?,"[""It is difficult for me to make friends"", ""I am good at managing the responsibilities of daily life."", ""To what extent do you feel you have a sense of direction in your life?"", ""I make my best effort, no matter what."", ""How often have you had trouble sleeping and hurt yourself?""]",kept,
gen_5_0,I can deal with whatever comes my way. I can live life on my own and know that I can achieve my goals.,"[""I feel as if nobody really understands me"", ""In times of stress, I know where to find help."", ""To what extent do you receive help and support from others when you need it?"", ""I can deal with whatever comes my way."", ""I am able to live life on my own and know that I can achieve my goals.""]",kept,
gen_6_0,How do you feel you are making progress towards accomplishing your goals?,"[""Things will not work out the way I want them to in the future."", ""My physical health has restricted me in the past."", ""I will always seek out activities that challenge me to think and reason."", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""How much time has you been putting into your goals in the past month?""]",kept,
gen_6_1,How many hours have you been putting into your goals?,"[""Things will not work out the way I want them to in the future."", ""My physical health has restricted me in the past."", ""I will always seek out activities that challenge me to think and reason."", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""How much time has you been putting into your goals in the past month?""]",kept,
gen_7_0,"During the past month, how often have you been making progress towards accomplishing your goals?","[""During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"", ""I take pride in my achievements."", ""My life has often seemed void of positive mental stimulation."", ""During the past month, how often have you had trouble sleeping because you cough or snore loudly?"", ""How do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_7_1,How are you feeling physically and mentally healthy at this time of the year?,"[""During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"", ""I take pride in my achievements."", ""My life has often seemed void of positive mental stimulation."", ""During the past month, how often have you had trouble sleeping because you cough or snore loudly?"", ""How do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_8_0,How many hours of the day do you feel you are making progress towards accomplishing your goals?,"[""I lack companionship"", ""Past successes give me confidence."", ""I am always optimistic about my future."", ""I feel a sense of mission about my future."", ""During the past month, how many hours of the day do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_9_0,How often do you think that you have no place to turn to or to say the least?,"[""How satisfied are you with your current physical health?"", ""During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?"", ""People would describe me as a giving person, willing to share my time with others."", ""Sometimes fate or God helps me."", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_9_1,Do you often worry that you have to take care of yourself?,"[""How satisfied are you with your current physical health?"", ""During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?"", ""People would describe me as a giving person, willing to share my time with others."", ""Sometimes fate or God helps me."", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_10_0,I feel satisfied with the amount of intellectual stimulation I receive in my daily life.,"[""My friends know they can always confide in me and ask me for advice."", ""During the past month, how many hours of actual sleep did you get at night?"", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""I make unpopular or difficult decisions."", ""I can deal with whatever comes my way. I can live life on my own and know that I can achieve my goals.""]",kept,
gen_10_1,I feel happy with the amount of intellectual stimulation I receive in my daily life.,"[""My friends know they can always confide in me and ask me for advice."", ""During the past month, how many hours of actual sleep did you get at night?"", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""I make unpopular or difficult decisions."", ""I can deal with whatever comes my way. I can live life on my own and know that I can achieve my goals.""]",kept,
gen_10_2,I feel pleased with the amount of intellectual stimulation I receive in my daily life.,"[""My friends know they can always confide in me and ask me for advice."", ""During the past month, how many hours of actual sleep did you get at night?"", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""I make unpopular or difficult decisions."", ""I can deal with whatever comes my way. I can live life on my own and know that I can achieve my goals.""]",kept,
gen_11_0,I feel good about myself and am in control of my life,"[""How often do you lose track of time while doing something you enjoy?"", ""In general, I feel confident about my abilities."", ""I have nobody to talk to"", ""The demands of everyday life often get me down."", ""I am happy I live life one day at a time.""]",kept,
gen_11_1,I feel relieved that I have never lost track of time while doing something I enjoy.,"[""How often do you lose track of time while doing something you enjoy?"", ""In general, I feel confident about my abilities."", ""I have nobody to talk to"", ""The demands of everyday life often get me down."", ""I am happy I live life one day at a time.""]",kept,
gen_12_0,Do you feel like you've got the best of everything?,"[""To what extent do you feel you have a sense of direction in your life?"", ""I make my best effort, no matter what."", ""Taking all things together, how happy would you say you are?"", ""How often do you feel sad?"", ""How often have you had trouble sleeping and hurt yourself?""]",kept,
gen_13_0,I have a lot of control over what goes on in my life.,"[""How often do you become absorbed in what you are doing?"", ""I am not easily discouraged by failure."", ""I rarely count on good things happening to me."", ""I feel like I am in control."", ""I can deal with whatever comes my way. I can live life on my own and know that I can achieve my goals.""]",kept,
gen_13_1,I feel like I am in control. I can live life on my own and know that I can achieve my goals.,"[""How often do you become absorbed in what you are doing?"", ""I am not easily discouraged by failure."", ""I rarely count on good things happening to me."", ""I feel like I am in control."", ""I can deal with whatever comes my way. I can live life on my own and know that I can achieve my goals.""]",kept,
gen_14_0,How often do you have trouble with self-disappointment and hurt yourself?,"[""Maintaining close relationships has been difficult and frustrating for me."", ""I have nobody to talk to"", ""How would you say your health is?"", ""During the past month, how often have you had trouble sleeping because you cough or snore loudly?"", ""How often have you had trouble sleeping and hurt yourself?""]",kept,
gen_14_1,How often have you struggled to sleep and hurt yourself?,"[""Maintaining close relationships has been difficult and frustrating for me."", ""I have nobody to talk to"", ""How would you say your health is?"", ""During the past month, how often have you had trouble sleeping because you cough or snore loudly?"", ""How often have you had trouble sleeping and hurt yourself?""]",kept,
gen_14_2,How often do you have been having troubles sleeping or hurt yourself?,"[""Maintaining close relationships has been difficult and frustrating for me."", ""I have nobody to talk to"", ""How would you say your health is?"", ""During the past month, how often have you had trouble sleeping because you cough or snore loudly?"", ""How often have you had trouble sleeping and hurt yourself?""]",kept,
gen_15_0,How are you feeling emotionally and mentally healthy at this time of year?,"[""I have nobody to talk to"", ""I expect to always be physically healthy."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""During the past month, how often have you had trouble sleeping because you feel too cold?"", ""How are you feeling physically and mentally healthy at this time of the year?""]",kept,
gen_15_1,How are you feeling mentally and physically healthy at this time of year?,"[""I have nobody to talk to"", ""I expect to always be physically healthy."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""During the past month, how often have you had trouble sleeping because you feel too cold?"", ""How are you feeling physically and mentally healthy at this time of the year?""]",kept,
gen_15_2,How are you emotionally and mentally healthy at this time of the year?,"[""I have nobody to talk to"", ""I expect to always be physically healthy."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""During the past month, how often have you had trouble sleeping because you feel too cold?"", ""How are you feeling physically and mentally healthy at this time of the year?""]",kept,
gen_16_0,What do you find most challenging about your daily life?,"[""I like most parts of my personality."", ""I find myself waiting for people to call or write"", ""In general, I feel I am in charge of the situation in which I live."", ""I take pride in my achievements."", ""How much time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_16_1,How many more times do you feel you are making progress toward accomplishing your goals than you realize?,"[""I like most parts of my personality."", ""I find myself waiting for people to call or write"", ""In general, I feel I am in charge of the situation in which I live."", ""I take pride in my achievements."", ""How much time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_16_2,I find myself waiting for people to call or write and I take pride in myself.,"[""I like most parts of my personality."", ""I find myself waiting for people to call or write"", ""In general, I feel I am in charge of the situation in which I live."", ""I take pride in my achievements."", ""How much time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_16_3,How do you feel as if you are making progress towards accomplishing your goals?,"[""I like most parts of my personality."", ""I find myself waiting for people to call or write"", ""In general, I feel I am in charge of the situation in which I live."", ""I take pride in my achievements."", ""How much time do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_17_0,"Often, I do not have to worry that I have to take care of myself.","[""In the past, I hardly ever expected things to go my way."", ""Even when hopeless, I do not give up."", ""During the past month, how would you rate your sleep quality overall?"", ""It seems that my life has always had purpose."", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_17_1,How often do you feel like you need to take care of yourself?,"[""In the past, I hardly ever expected things to go my way."", ""Even when hopeless, I do not give up."", ""During the past month, how would you rate your sleep quality overall?"", ""It seems that my life has always had purpose."", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_18_0,I find myself waiting for others to call or write and I take pride in myself,"[""My family has been available to support me in the past."", ""In the past, I hardly ever expected things to go my way."", ""I always look on the bright side of things."", ""People would describe me as a giving person, willing to share my time with others."", ""I find myself waiting for people to call or write and I take pride in myself.""]",kept,
gen_18_1,I have been successful in achieving a goal of improving my mental health.,"[""My family has been available to support me in the past."", ""In the past, I hardly ever expected things to go my way."", ""I always look on the bright side of things."", ""People would describe me as a giving person, willing to share my time with others."", ""I find myself waiting for people to call or write and I take pride in myself.""]",kept,
gen_19_0,I feel relieved with the amount of intellectual stimulation I receive in my daily life,"[""People are around me but not with me"", ""During the past month, how long (in minutes) has it usually taken you to fall asleep each night?"", ""My social relationships are superficial"", ""My friends know they can always confide in me and ask me for advice."", ""I feel pleased with the amount of intellectual stimulation I receive in my daily life.""]",kept,
gen_20_0,Do you feel well-being if you have a positive outlook on life?,"[""I am able to handle unpleasant or painful feelings like sadness, fear, and anger."", ""How often do you feel anxious?"", ""I am no longer close to anyone"", ""I feel shut out and excluded by others"", ""Do you feel like you've got the best of everything?""]",kept,
gen_21_0,How often do you have trouble thinking positively and loving myself?,"[""My interests and ideas are not shared by those around me"", ""During the past month, how often have you had trouble sleeping because you have bad dreams?"", ""I believe there is a real purpose for my life."", ""I take pride in my achievements."", ""How often do you have trouble with self-disappointment and hurt yourself?""]",kept,
gen_21_1,How often do you feel depressed and depressed about yourself?,"[""My interests and ideas are not shared by those around me"", ""During the past month, how often have you had trouble sleeping because you have bad dreams?"", ""I believe there is a real purpose for my life."", ""I take pride in my achievements."", ""How often do you have trouble with self-disappointment and hurt yourself?""]",kept,
gen_21_2,How often do you have trouble coping with the stress that comes my way?,"[""My interests and ideas are not shared by those around me"", ""During the past month, how often have you had trouble sleeping because you have bad dreams?"", ""I believe there is a real purpose for my life."", ""I take pride in my achievements."", ""How often do you have trouble with self-disappointment and hurt yourself?""]",kept,
gen_22_0,I am overwhelmed with the routines of my daily life.,"[""I always look on the bright side of things."", ""How often do you achieve the important goals you have set for yourself?"", ""I work to attain goals."", ""I am unhappy doing so many things alone"", ""What do you find most challenging about your daily life?""]",kept,
gen_23_0,"During the past month, how often do you have a problem understanding your thoughts?","[""During the past month, how often have you had trouble sleeping because you have bad dreams?"", ""I work to attain goals."", ""I am unable to reach out and communicate with those around me"", ""During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_23_1,How often have you tried to achieve goals and had high anxiety?,"[""During the past month, how often have you had trouble sleeping because you have bad dreams?"", ""I work to attain goals."", ""I am unable to reach out and communicate with those around me"", ""During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_23_2,"During the past month, how often do you worry that you have to take care of yourself?","[""During the past month, how often have you had trouble sleeping because you have bad dreams?"", ""I work to attain goals."", ""I am unable to reach out and communicate with those around me"", ""During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"", ""How often do you have to worry that you have to take care of yourself?""]",kept,
gen_24_0,How often have you not been successful in taking care of yourself in the past month?,"[""For me, life has been a continuous process of learning, changing, and growth."", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""In the past, I have generally found intellectual challenges to be vital to my overall well-being."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""How often do you feel like you need to take care of yourself?""]",kept,
gen_24_1,How often do you feel that you need to take care of yourself every day?,"[""For me, life has been a continuous process of learning, changing, and growth."", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""In the past, I have generally found intellectual challenges to be vital to my overall well-being."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""How often do you feel like you need to take care of yourself?""]",kept,
gen_24_2,I feel grateful for the amount of intellectual stimulation I receive in my daily life.,"[""For me, life has been a continuous process of learning, changing, and growth."", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""In the past, I have generally found intellectual challenges to be vital to my overall well-being."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""How often do you feel like you need to take care of yourself?""]",kept,
gen_24_3,I feel that being in touch with others is vital to my well-being. How often have you had trouble sleeping because you have pain?,"[""For me, life has been a continuous process of learning, changing, and growth."", ""Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life."", ""In the past, I have generally found intellectual challenges to be vital to my overall well-being."", ""During the past month, how often have you had trouble sleeping because you have pain?"", ""How often do you feel like you need to take care of yourself?""]",kept,
gen_25_0,I think it is important to have new experiences that challenge my thinking about myself and the world.,"[""I have confidence in my own opinions, even if they are different from the way most other people think."", ""I will always seek out activities that challenge me to think and reason."", ""I prefer to take the lead in problem-solving."", ""I think it is important to have new experiences that challenge how I think about myself and the world."", ""During the past month, how many hours of the day do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_25_1,How many hours of the day did you feel you were making progress towards accomplishing your goals?,"[""I have confidence in my own opinions, even if they are different from the way most other people think."", ""I will always seek out activities that challenge me to think and reason."", ""I prefer to take the lead in problem-solving."", ""I think it is important to have new experiences that challenge how I think about myself and the world."", ""During the past month, how many hours of the day do you feel you are making progress towards accomplishing your goals?""]",kept,
gen_26_0,How often do you feel like your own mental health is deflating?,"[""During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?"", ""When I look at the story of my life, I am pleased with how things have turned out so far."", ""I am unhappy being so withdrawn"", ""How often do you lose track of time while doing something you enjoy?"", ""How often do you have been having troubles sleeping or hurt yourself?""]",kept,
gen_26_1,How often do you find yourself having trouble sleeping or hurt yourself?,"[""During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?"", ""When I look at the story of my life, I am pleased with how things have turned out so far."", ""I am unhappy being so withdrawn"", ""How often do you lose track of time while doing something you enjoy?"", ""How often do you have been having troubles sleeping or hurt yourself?""]",kept,
gen_27_0,How can you feel emotionally and mentally healthy this time of year?,"[""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""How would you say your health is?"", ""I am good at managing the responsibilities of daily life."", ""How often do you lose track of time while doing something you enjoy?"", ""How are you feeling emotionally and mentally healthy at this time of year?""]",kept,
gen_28_0,I feel that my well-being depends on a lot of factors.,"[""I feel starved for company"", ""I can deal with whatever comes my way."", ""When I look at the story of my life, I am pleased with how things have turned out so far."", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""I feel that being in touch with others is vital to my well-being. How often have you had trouble sleeping because you have pain?""]",kept,
gen_28_1,I feel that I am making progress towards accomplishing my goals. How often have you had trouble sleeping because you have pain?,"[""I feel starved for company"", ""I can deal with whatever comes my way."", ""When I look at the story of my life, I am pleased with how things have turned out so far."", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""I feel that being in touch with others is vital to my well-being. How often have you had trouble sleeping because you have pain?""]",kept,
gen_28_2,I am not satisfied with the story of my life.,"[""I feel starved for company"", ""I can deal with whatever comes my way."", ""When I look at the story of my life, I am pleased with how things have turned out so far."", ""How much of the time do you feel you are making progress towards accomplishing your goals?"", ""I feel that being in touch with others is vital to my well-being. How often have you had trouble sleeping because you have pain?""]",kept,
gen_29_0,"I am a caring person, I try to take good care of myself.","[""I rarely count on good things happening to me."", ""Compared to others of your same age and sex, how is your health?"", ""I believe I can achieve my goals, even if there are obstacles."", ""How would you say your health is?"", ""How much time has you been putting into your goals in the past month?""]",kept,
gen_30_0,I feel the need to take action on my mental health.,"[""I feel a sense of mission about my future."", ""Members of my family come to me for support."", ""During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?"", ""I feel like I am in control."", ""I am not satisfied with the story of my life.""]",kept,
gen_31_0,How have you feeling about your mental health over the last few months?,"[""Taking all things together, how happy would you say you are?"", ""During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?"", ""Compared to people I know, my past physical health has been excellent."", ""I have nobody to talk to"", ""How do you feel you are making progress towards accomplishing your goals?""]",kept,
