qid,question_text,human_answers
PERMA3_4,To what extent do you feel excited and interested in things?,"['Emotional', 'Intellectual', 'Occupational', 'Environmental', 'Spiritual']"
PERMA3_5,How lonely do you feel in your daily life?,"['Emotional', 'Social', 'Environmental']"
PERMA4_1,How satisfied are you with your current physical health?,"['Physical', 'Intellectual']"
PERMA5_1,How often do you feel positive?,"['Emotional', 'Environmental']"
PERMA5_2,How often do you feel angry?,"['Emotional', 'Intellectual']"
PERMA5_3,How often are you able to handle your responsibilities?,"['Emotional', 'Occupational', 'Intellectual', 'Physical', 'Environmental']"
PERMA5_4,How often do you feel sad?,"['Emotional', 'Social']"
PERMA5_5,How often do you lose track of time while doing something you enjoy?,"['Emotional', 'Occupational', 'Social', 'Spiritual', 'Intellectual']"
PERMA6_1,"Compared to others of your same age and sex, how is your health?",['Physical']
PERMA7_1,To what extent do you feel you have a sense of direction in your life?,"['Spiritual', 'Occupational', 'Intellectual', 'Environmental', 'Social']"
PERMA7_2,How satisfied are you with your personal relationships?,"['Social', 'Emotional']"
PERMA7_3,To what extent do you feel loved?,"['Emotional', 'Social', 'Environmental']"
PERMA7_4,To what extent do you feel contented?,"['Emotional', 'Intellectual', 'Social', 'Spiritual']"
PERMA8_1,"Taking all things together, how happy would you say you are?","['Emotional', 'Social']"
PSS_1,"During the past month, what time have you usually gone to bed at night?","['Physical', 'Spiritual']"
PSS_3,"During the past month, what time have you usually gotten up in the morning?","['Physical', 'Environmental', 'Spiritual']"
PSS_4,"During the past month, how many hours of actual sleep did you get at night?","['Physical', 'Emotional', 'Spiritual']"
PSS_5_1,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?","['Physical', 'Emotional', 'Environmental', 'Spiritual']"
PSS_5_2,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?","['Physical', 'Environmental', 'Intellectual', 'Emotional']"
PSS_5_3,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?","['Physical', 'Environmental', 'Emotional']"
PSS_5_4,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?","['Emotional', 'Physical']"
PSS_5_5,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?","['Physical', 'Environmental']"
PSS_5_6,"During the past month, how often have you had trouble sleeping because you feel too cold?","['Physical', 'Environmental', 'Emotional']"
PSS_5_7,"During the past month, how often have you had trouble sleeping because you feel too hot?","['Physical', 'Environmental', 'Emotional']"
PSS_5_8,"During the past month, how often have you had trouble sleeping because you have bad dreams?","['Physical', 'Emotional', 'Intellectual', 'Environmental']"
PSS_5_9,"During the past month, how often have you had trouble sleeping because you have pain?","['Physical', 'Spiritual']"
PSS_5_10,"During the past month, how often have you had trouble sleeping because of other reasons?","['Physical', 'Emotional', 'Environmental', 'Spiritual']"
PSS_6,"During the past month, how would you rate your sleep quality overall?","['Physical', 'Emotional', 'Spiritual']"
PSS_7,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?","['Physical', 'Occupational', 'Social']"
PSS_8,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?","['Physical', 'Social', 'Environmental', 'Emotional']"
PSS_9,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?","['Emotional', 'Spiritual', 'Physical', 'Occupational', 'Social']"
PSS_10_1,"During the past month, how often has your bed partner or room mate reported loud snoring?","['Physical', 'Environmental']"
PSS_10_2,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?","['Physical', 'Environmental', 'Emotional', 'Social']"
PSS_10_3,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?","['Physical', 'Environmental', 'Emotional']"
PSS_10_4,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?","['Physical', 'Environmental', 'Intellectual', 'Emotional', 'Spiritual', 'Social']"
PSS_10_5,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?","['Physical', 'Environmental', 'Emotional', 'Social']"
PWB_1,I like most parts of my personality.,"['Emotional', 'Spiritual']"
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.","['Emotional', 'Spiritual', 'Occupational', 'Intellectual', 'Social']"
PWB_3,"Some people wander aimlessly through life, but I am not one of them.","['Emotional', 'Spiritual', 'Occupational', 'Intellectual']"
PWB_4,The demands of everyday life often get me down.,"['Emotional', 'Social', 'Occupational', 'Environmental', 'Spiritual', 'Intellectual']"
PWB_5,In many ways I feel disappointed about my achievements in life.,"['Emotional', 'Occupational', 'Spiritual', 'Intellectual']"
PWB_6,Maintaining close relationships has been difficult and frustrating for me.,"['Social', 'Emotional', 'Occupational']"
PWB_7,I live life one day at a time and don't really think about the future.,"['Emotional', 'Intellectual', 'Spiritual', 'Environmental', 'Occupational']"
PWB_8,"In general, I feel I am in charge of the situation in which I live.","['Emotional', 'Intellectual', 'Spiritual', 'Environmental', 'Occupational']"
PWB_9,I am good at managing the responsibilities of daily life.,"['Emotional', 'Occupational', 'Intellectual', 'Environmental', 'Spiritual']"
PWB_10,I sometimes feel as if I've done all there is to do in life.,"['Emotional', 'Spiritual', 'Intellectual', 'Occupational', 'Social']"
PWB_11,"For me, life has been a continuous process of learning, changing, and growth.","['Emotional', 'Spiritual', 'Intellectual', 'Physical', 'Occupational']"
PWB_12,I think it is important to have new experiences that challenge how I think about myself and the world.,"['Emotional', 'Intellectual', 'Spiritual', 'Environmental', 'Occupational']"
PWB_13,"People would describe me as a giving person, willing to share my time with others.","['Emotional', 'Social', 'Spiritual', 'Intellectual', 'Environmental']"
PWB_14,I gave up trying to make big improvements or changes in my life a long time ago.,"['Emotional', 'Occupational', 'Spiritual', 'Intellectual', 'Social']"
PWB_15,I tend to be influenced by people with strong opinions.,"['Social', 'Emotional', 'Intellectual']"
PWB_16,I have not experienced many warm and trusting relationships with others.,"['Social', 'Emotional', 'Environmental']"
PWB_17,"I have confidence in my own opinions, even if they are different from the way most other people think.","['Emotional', 'Intellectual', 'Spiritual', 'Social']"
PWB_18,"I judge myself by what I think is important, not by the values of what others think is important.","['Emotional', 'Intellectual', 'Spiritual', 'Social', 'Environmental']"
PWS_1,I am always optimistic about my future.,"['Emotional', 'Spiritual', 'Occupational', 'Intellectual']"
PWS_2,There have been times when I felt inferior to most of the people I knew.,"['Emotional', 'Social', 'Spiritual', 'Environmental']"
PWS_3,Members of my family come to me for support.,['Social']
