qid,text,answer,source
PWB_1,I like most parts of my personality.2,Emotional,Human02
PWB_1,I like most parts of my personality.2,Emotional,Human03
PWB_1,I like most parts of my personality.2,Emotional,Human04
PWB_1,I like most parts of my personality.2,Emotional,Human05
PWB_1,I like most parts of my personality.2,Emotional,Human06
PWB_1,I like most parts of my personality.2,Spiritual,Human07
PWB_1,I like most parts of my personality.2,Social,Human08
PWB_1,I like most parts of my personality.2,Emotional,Human09
PWB_1,I like most parts of my personality.2,Emotional,Human10
PWB_1,I like most parts of my personality.2,Emotional,Human11
PWB_1,I like most parts of my personality.2,Emotional,Human12
PWB_1,I like most parts of my personality.2,Emotional,Human13
PWB_1,I like most parts of my personality.2,Emotional,Human14
PWB_1,I like most parts of my personality.2,Emotional,Human15
PWB_1,I like most parts of my personality.2,Emotional,Human16
PWB_1,I like most parts of my personality.2,Emotional,Human17
PWB_1,I like most parts of my personality.2,Spiritual,Human18
PWB_1,I like most parts of my personality.2,Emotional,Human19
PWB_1,I like most parts of my personality.2,Emotional,Human20
PWB_1,I like most parts of my personality.2,Emotional,Human21
PWB_1,I like most parts of my personality.2,Emotional,Human22
PWB_1,I like most parts of my personality.2,Spiritual,Human23
PWB_1,I like most parts of my personality.2,Physical,Human24
PWB_1,I like most parts of my personality.2,Spiritual,Human25
PWB_1,I like most parts of my personality.2,Emotional,Human26
PWB_1,I like most parts of my personality.2,Emotional,Human27
PWB_1,I like most parts of my personality.2,Emotional,Human28
PWB_1,I like most parts of my personality.3,Emotional,Human01
PWB_1,I like most parts of my personality.3,Emotional,Human02
PWB_1,I like most parts of my personality.3,Emotional,Human03
PWB_1,I like most parts of my personality.3,Emotional,Human04
PWB_1,I like most parts of my personality.3,Emotional,Human05
PWB_1,I like most parts of my personality.3,Emotional,Human06
PWB_1,I like most parts of my personality.3,Spiritual,Human07
PWB_1,I like most parts of my personality.3,Social,Human08
PWB_1,I like most parts of my personality.3,Emotional,Human09
PWB_1,I like most parts of my personality.3,Emotional,Human10
PWB_1,I like most parts of my personality.3,Emotional,Human11
PWB_1,I like most parts of my personality.3,Emotional,Human12
PWB_1,I like most parts of my personality.3,Emotional,Human13
PWB_1,I like most parts of my personality.3,Emotional,Human14
PWB_1,I like most parts of my personality.3,Emotional,Human15
PWB_1,I like most parts of my personality.3,Emotional,Human16
PWB_1,I like most parts of my personality.3,Emotional,Human17
PWB_1,I like most parts of my personality.3,Intellectual,Human18
PWB_1,I like most parts of my personality.3,Emotional,Human19
PWB_1,I like most parts of my personality.3,Emotional,Human20
PWB_1,I like most parts of my personality.3,Emotional,Human21
PWB_1,I like most parts of my personality.3,Emotional,Human22
PWB_1,I like most parts of my personality.3,Spiritual,Human23
PWB_1,I like most parts of my personality.3,Emotional,Human24
PWB_1,I like most parts of my personality.3,Spiritual,Human25
PWB_1,I like most parts of my personality.3,Emotional,Human26
PWB_1,I like most parts of my personality.3,Emotional,Human27
PWB_1,I like most parts of my personality.3,Emotional,Human28
PWB_1,I like most parts of my personality.4,Emotional,Human01
PWB_1,I like most parts of my personality.4,Emotional,Human02
PWB_1,I like most parts of my personality.4,Emotional,Human03
PWB_1,I like most parts of my personality.4,Emotional,Human04
PWB_1,I like most parts of my personality.4,Emotional,Human05
PWB_1,I like most parts of my personality.4,Emotional,Human06
PWB_1,I like most parts of my personality.4,Spiritual,Human07
PWB_1,I like most parts of my personality.4,Social,Human08
PWB_1,I like most parts of my personality.4,Emotional,Human09
PWB_1,I like most parts of my personality.4,Emotional,Human10
PWB_1,I like most parts of my personality.4,Emotional,Human11
PWB_1,I like most parts of my personality.4,Emotional,Human12
PWB_1,I like most parts of my personality.4,Emotional,Human13
PWB_1,I like most parts of my personality.4,Emotional,Human14
PWB_1,I like most parts of my personality.4,Emotional,Human15
PWB_1,I like most parts of my personality.4,Emotional,Human16
PWB_1,I like most parts of my personality.4,Emotional,Human17
PWB_1,I like most parts of my personality.4,Environmental,Human18
PWB_1,I like most parts of my personality.4,Emotional,Human19
PWB_1,I like most parts of my personality.4,Emotional,Human20
PWB_1,I like most parts of my personality.4,Emotional,Human21
PWB_1,I like most parts of my personality.4,Emotional,Human22
PWB_1,I like most parts of my personality.4,Spiritual,Human23
PWB_1,I like most parts of my personality.4,Emotional,Human24
PWB_1,I like most parts of my personality.4,Spiritual,Human25
PWB_1,I like most parts of my personality.4,Emotional,Human26
PWB_1,I like most parts of my personality.4,Social,Human27
PWB_1,I like most parts of my personality.4,Emotional,Human28
PWB_10,I sometimes feel as if I've done all there is to do in life.,Emotional,Human01
PWB_10,I sometimes feel as if I've done all there is to do in life.,Emotional,Human02
PWB_10,I sometimes feel as if I've done all there is to do in life.,Emotional,Human03
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human04
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human05
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human06
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human07
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human08
PWB_10,I sometimes feel as if I've done all there is to do in life.,Emotional,Human09
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human10
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human11
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human12
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human13
PWB_10,I sometimes feel as if I've done all there is to do in life.,Intellectual,Human14
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human15
PWB_10,I sometimes feel as if I've done all there is to do in life.,Occupational,Human16
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human17
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human18
PWB_10,I sometimes feel as if I've done all there is to do in life.,Occupational,Human19
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human20
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human21
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human22
PWB_10,I sometimes feel as if I've done all there is to do in life.,Social,Human23
PWB_10,I sometimes feel as if I've done all there is to do in life.,Occupational,Human24
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human25
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human26
PWB_10,I sometimes feel as if I've done all there is to do in life.,Spiritual,Human27
PWB_10,I sometimes feel as if I've done all there is to do in life.,Intellectual,Human28
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human01
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human02
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human03
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human04
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human05
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human06
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human07
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human08
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human09
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human10
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human11
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human12
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human13
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Intellectual,Human14
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human15
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Occupational,Human16
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human17
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Emotional,Human18
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Intellectual,Human19
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human20
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human21
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human22
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Occupational,Human23
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Occupational,Human24
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human25
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human26
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Spiritual,Human27
PWB_10,I sometimes feel as if I've done all there is to do in life.2,Intellectual,Human28
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Emotional,Human01
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Emotional,Human02
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Intellectual,Human03
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human04
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human05
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human06
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human07
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human08
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Emotional,Human09
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human10
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human11
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human12
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human13
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Intellectual,Human14
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Emotional,Human15
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Occupational,Human16
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Emotional,Human17
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Intellectual,Human18
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Occupational,Human19
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human20
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human21
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human22
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Occupational,Human23
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Occupational,Human24
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human25
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human26
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Spiritual,Human27
PWB_10,I sometimes feel as if I've done all there is to do in life.3,Environmental,Human28
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Emotional,Human01
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Emotional,Human02
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Emotional,Human03
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human04
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human05
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human06
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human07
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human08
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Emotional,Human09
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human10
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human11
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human12
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human13
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Intellectual,Human14
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Emotional,Human15
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Occupational,Human16
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human17
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Environmental,Human18
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Emotional,Human19
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human20
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human21
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human22
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Occupational,Human23
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Occupational,Human24
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human25
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human26
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Spiritual,Human27
PWB_10,I sometimes feel as if I've done all there is to do in life.4,Environmental,Human28
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Emotional,Human01
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Emotional,Human02
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Emotional,Human03
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human04
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human05
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human06
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human07
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human08
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Emotional,Human09
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human10
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human11
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human12
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human13
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Intellectual,Human14
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Emotional,Human15
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Occupational,Human16
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Social,Human17
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Occupational,Human18
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Emotional,Human19
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human20
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human21
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human22
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Occupational,Human23
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Occupational,Human24
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human25
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human26
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Spiritual,Human27
PWB_10,I sometimes feel as if I've done all there is to do in life.5,Environmental,Human28
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human01
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human02
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human03
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human04
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human05
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human06
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human07
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human08
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human09
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human10
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human11
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Occupational,Human12
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human13
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Intellectual,Human14
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human15
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Occupational,Human16
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human17
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Social,Human18
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Occupational,Human19
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human20
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human21
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human22
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Occupational,Human23
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human24
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human25
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human26
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Spiritual,Human27
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.",Emotional,Human28
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human01
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human02
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human03
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human04
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human05
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human06
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human07
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human08
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Occupational,Human09
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human10
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human11
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human12
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human13
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Intellectual,Human14
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human15
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Occupational,Human16
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human17
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human18
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Occupational,Human19
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human20
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Social,Human21
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human22
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human23
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Emotional,Human24
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human25
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human26
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Spiritual,Human27
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.2",Environmental,Human28
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human01
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human02
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human03
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human04
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Spiritual,Human05
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human06
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human07
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Spiritual,Human08
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human09
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Physical,Human10
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Spiritual,Human11
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human12
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human13
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Intellectual,Human14
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human15
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Occupational,Human16
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human17
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human18
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human19
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Spiritual,Human20
PWB_2,"When I look at the story of my life, I am pleased with how things have turned out so far.3",Emotional,Human21
