qid,dataset,text,dimension_model,dimensions,scores,delta
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,Llama-4,['Occupational'],[0.25299158692359924],0.0
PERMA5_4,PERMA,How often do you feel sad?,Llama-4,['Emotional'],[0.32809099555015564],0.0
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,Llama-4,['Intellectual'],[0.28401491045951843],0.0
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",Llama-4,['Physical'],[0.39726755023002625],0.0
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,Llama-4,['Spiritual'],[0.3962049186229706],0.0
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,Llama-4,['Social'],[0.32908281683921814],0.0
PERMA7_3,PERMA,To what extent do you feel loved?,Llama-4,['Emotional'],[0.38970136642456055],0.0
PERMA7_4,PERMA,To what extent do you feel contented?,Llama-4,['Emotional'],[0.31841304898262024],0.0
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",Llama-4,['Emotional'],[0.30895763635635376],0.0
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",Llama-4,['Environmental'],[0.08618004620075226],0.0
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",Llama-4,['Environmental'],[0.034751541912555695],0.0
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",Llama-4,['Environmental'],[0.0936882272362709],0.0
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",Llama-4,['Environmental'],[0.06898488104343414],0.0
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",Llama-4,['Environmental'],[0.041054852306842804],0.0
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",Llama-4,['Environmental'],[0.033538222312927246],0.0
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",Llama-4,['Environmental'],[0.11148899793624878],0.0
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Llama-4,['Environmental'],[0.11508805304765701],0.0
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",Llama-4,['Environmental'],[0.03616948053240776],0.0
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",Llama-4,['Emotional'],[0.05543128401041031],0.0
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",Llama-4,['Emotional'],[0.07030165940523148],0.0
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",Llama-4,['Emotional'],[0.06746327877044678],0.0
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",Llama-4,['Emotional'],[0.05231676623225212],0.0
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",Llama-4,['Environmental'],[0.05100835859775543],0.0
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",Llama-4,['Physical'],[0.15620963275432587],0.0
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",Llama-4,['Emotional'],[0.022741785272955894],0.0
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",Llama-4,['Social'],[0.1643410325050354],0.0
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",Llama-4,['Intellectual'],[0.2360156923532486],0.0
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",Llama-4,['Environmental'],[0.009532208554446697],0.0
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",Llama-4,['Environmental'],[0.044290296733379364],0.0
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",Llama-4,['Social'],[0.01128577534109354],0.0
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",Llama-4,['Emotional'],[0.024307796731591225],0.0
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",Llama-4,['Social'],[0.032221678644418716],0.0
PWB_1,PWB,I like most parts of my personality.,Llama-4,['Physical'],[0.28918081521987915],0.0
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far.",Llama-4,['Emotional'],[0.1899903416633606],0.0
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them.",Llama-4,['Emotional'],[0.2582855224609375],0.0
PWB_4,PWB,The demands of everyday life often get me down.,Llama-4,['Emotional'],[0.27431145310401917],0.0
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.,Llama-4,['Occupational'],[0.24418318271636963],0.0
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.,Llama-4,['Social'],[0.30755090713500977],0.0
PWB_7,PWB,I live life one day at a time and don't really think about the future.,Llama-4,['Intellectual'],[0.25889962911605835],0.0
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live.",Llama-4,['Emotional'],[0.26168692111968994],0.0
PWB_9,PWB,I am good at managing the responsibilities of daily life.,Llama-4,['Occupational'],[0.406811386346817],0.0
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.,Llama-4,['Occupational'],[0.393949419260025],0.0
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth.",Llama-4,['Intellectual'],[0.4378972053527832],0.0
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.,Llama-4,['Spiritual'],[0.3862381875514984],0.0
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others.",Llama-4,['Spiritual'],[0.3799630105495453],0.0
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.,Llama-4,['Emotional'],[0.2636575698852539],0.0
PWB_15,PWB,I tend to be influenced by people with strong opinions.,Llama-4,['Social'],[0.29928845167160034],0.0
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.,Llama-4,['Social'],[0.41797587275505066],0.0
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think.",Llama-4,['Social'],[0.24755977094173431],0.0
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important.",Llama-4,['Spiritual'],[0.3793553411960602],0.0
PWS_1,PWS,I am always optimistic about my future.,Llama-4,['Financial'],[0.31875136494636536],0.0
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.,Llama-4,['Emotional'],[0.26449665427207947],0.0
PWS_3,PWS,Members of my family come to me for support.,Llama-4,['Social'],[0.28209856152534485],0.0
PWS_4,PWS,My physical health has restricted me in the past.,Llama-4,['Physical'],[0.4092381000518799],0.0
PWS_5,PWS,I believe there is a real purpose for my life.,Llama-4,['Spiritual'],[0.40670835971832275],0.0
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.,Llama-4,['Intellectual'],[0.4326583445072174],0.0
PWS_7,PWS,I rarely count on good things happening to me.,Llama-4,['Emotional'],[0.20418941974639893],0.0
PWS_8,PWS,"In general, I feel confident about my abilities.",Llama-4,['Emotional'],[0.3369334936141968],0.0
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.,Llama-4,['Spiritual'],[0.2538255751132965],0.0
PWS_10,PWS,My body seems to resist physical illness very well.,Llama-4,['Physical'],[0.42995211482048035],0.0
PWS_11,PWS,Life does not hold much future promise for me.,Llama-4,['Intellectual'],[0.21964359283447266],0.0
PWS_12,PWS,I avoid activities which require me to concentrate.,Llama-4,['Intellectual'],[0.40038254857063293],0.0
PWS_13,PWS,I always look on the bright side of things.,Llama-4,['Emotional'],[0.2303335815668106],0.0
PWS_14,PWS,I sometimes think I am a worthless individual.,Llama-4,['Emotional'],[0.24485346674919128],0.0
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.,Llama-4,['Social'],[0.3122516870498657],0.0
PWS_16,PWS,My physical health is excellent.,Llama-4,['Physical'],[0.6201238036155701],0.0
PWS_17,PWS,Sometimes I don't understand what life is all about.,Llama-4,['Spiritual'],[0.26269522309303284],0.0
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",Llama-4,['Intellectual'],[0.5690968632698059],0.0
PWS_19,PWS,"In the past, I have expected the best.",Llama-4,['Emotional'],[0.11830522119998932],0.0
PWS_20,PWS,I am uncertain about my ability to do things well in the future.,Llama-4,['Intellectual'],[0.3885653614997864],0.0
PWS_21,PWS,My family has been available to support me in the past.,Llama-4,['Financial'],[0.2784591317176819],0.0
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent.",Llama-4,['Physical'],[0.5192360281944275],0.0
PWS_23,PWS,I feel a sense of mission about my future.,Llama-4,['Spiritual'],[0.33485883474349976],0.0
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,Llama-4,['Intellectual'],[0.23597614467144012],0.0
PWS_25,PWS,"In the past, I hardly ever expected things to go my way.",Llama-4,['Emotional'],[0.1555745005607605],0.0
PWS_26,PWS,I will always be secure with who I am.,Llama-4,['Financial'],[0.2467048317193985],0.0
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows.",Llama-4,['Social'],[0.4061615467071533],0.0
PWS_28,PWS,I expect to always be physically healthy.,Llama-4,['Physical'],[0.5930496454238892],0.0
PWS_29,PWS,I have felt in the past that my life was meaningless.,Llama-4,['Emotional'],[0.3217748999595642],0.0
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",Llama-4,['Intellectual'],[0.5825426578521729],0.0
PWS_31,PWS,Things will not work out the way I want them to in the future.,Llama-4,['Financial'],[0.19714738428592682],0.0
PWS_32,PWS,"In the past, I have felt sure of myself among strangers.",Llama-4,['Social'],[0.3400270342826843],0.0
PWS_33,PWS,My friends will be there for me when I need help.,Llama-4,['Social'],[0.26867395639419556],0.0
PWS_34,PWS,I expect my physical health to get worse.,Llama-4,['Physical'],[0.5060238838195801],0.0
PWS_35,PWS,It seems that my life has always had purpose.,Llama-4,['Occupational'],[0.4287099242210388],0.0
PWS_36,PWS,My life has often seemed void of positive mental stimulation.,Llama-4,['Spiritual'],[0.3449772596359253],0.0
UCLA_1,UCLA,I am unhappy doing so many things alone,Llama-4,['Occupational'],[0.24051007628440857],0.0
UCLA_2,UCLA,I have nobody to talk to,Llama-4,['Social'],[0.1441507637500763],0.0
UCLA_3,UCLA,I cannot tolerate being so alone,Llama-4,['Social'],[0.20545142889022827],0.0
UCLA_4,UCLA,I lack companionship,Llama-4,['Social'],[0.31925642490386963],0.0
UCLA_5,UCLA,I feel as if nobody really understands me,Llama-4,['Spiritual'],[0.2579078674316406],0.0
UCLA_6,UCLA,I find myself waiting for people to call or write,Llama-4,['Social'],[0.23062872886657715],0.0
UCLA_7,UCLA,There is no one I can turn to,Llama-4,['Spiritual'],[0.11839978396892548],0.0
UCLA_8,UCLA,I am no longer close to anyone,Llama-4,['Social'],[0.3012665808200836],0.0
UCLA_9,UCLA,My interests and ideas are not shared by those around me,Llama-4,['Intellectual'],[0.3562230169773102],0.0
UCLA_10,UCLA,I feel left out,Llama-4,['Intellectual'],[0.1931496560573578],0.0
UCLA_11,UCLA,I feel completely alone,Llama-4,['Spiritual'],[0.19084273278713226],0.0
UCLA_12,UCLA,I am unable to reach out and communicate with those around me,Llama-4,['Social'],[0.22231405973434448],0.0
UCLA_13,UCLA,My social relationships are superficial,Llama-4,['Social'],[0.46425315737724304],0.0
UCLA_14,UCLA,I feel starved for company,Llama-4,['Occupational'],[0.15457002818584442],0.0
UCLA_15,UCLA,No one really knows me well,Llama-4,['Social'],[0.15350794792175293],0.0
UCLA_16,UCLA,I feel isolated from others,Llama-4,['Social'],[0.395344614982605],0.0
UCLA_17,UCLA,I am unhappy being so withdrawn,Llama-4,['Emotional'],[0.17630727589130402],0.0
UCLA_18,UCLA,It is difficult for me to make friends,Llama-4,['Social'],[0.3863789737224579],0.0
UCLA_19,UCLA,I feel shut out and excluded by others,Llama-4,['Social'],[0.3084937334060669],0.0
UCLA_20,UCLA,People are around me but not with me,Llama-4,['Social'],[0.3062284290790558],0.0
