qid,dataset,text,dimension_model,dimensions,scores,delta
CD_RISC_19,CD-RISC,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",DeepSeek-V3.2,['Emotional'],[0.569412112236023],0.1
CD_RISC_20,CD-RISC,I have to act on a hunch.,DeepSeek-V3.2,"['Intellectual', 'Physical', 'Social', 'Emotional', 'Environmental']","[0.18116812407970428, 0.12092401087284088, 0.11758484691381454, 0.11331477761268616, 0.09767129272222519]",0.1
CD_RISC_21,CD-RISC,I have a strong sense of purpose in life.,DeepSeek-V3.2,"['Intellectual', 'Spiritual', 'Occupational', 'Financial']","[0.41501525044441223, 0.39166194200515747, 0.32338735461235046, 0.31971967220306396]",0.1
CD_RISC_22,CD-RISC,I feel like I am in control.,DeepSeek-V3.2,['Emotional'],[0.227564737200737],0.1
CD_RISC_23,CD-RISC,I like challenges.,DeepSeek-V3.2,"['Intellectual', 'Spiritual']","[0.20158730447292328, 0.14965170621871948]",0.1
CD_RISC_24,CD-RISC,I work to attain goals.,DeepSeek-V3.2,"['Occupational', 'Financial', 'Intellectual']","[0.43827906250953674, 0.38357627391815186, 0.37632250785827637]",0.1
CD_RISC_25,CD-RISC,I take pride in my achievements.,DeepSeek-V3.2,"['Occupational', 'Intellectual']","[0.3405522406101227, 0.27603021264076233]",0.1
PERMA1_1,PERMA,How much of the time do you feel you are making progress towards accomplishing your goals?,DeepSeek-V3.2,"['Intellectual', 'Occupational', 'Financial', 'Emotional']","[0.30983155965805054, 0.24470748007297516, 0.22251200675964355, 0.2206294983625412]",0.1
PERMA1_2,PERMA,How often do you become absorbed in what you are doing?,DeepSeek-V3.2,"['Occupational', 'Physical', 'Intellectual', 'Emotional']","[0.30762413144111633, 0.29473671317100525, 0.28035834431648254, 0.28001853823661804]",0.1
PERMA1_3,PERMA,How often do you feel joyful?,DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.38570675253868103, 0.28674590587615967]",0.1
PERMA1_4,PERMA,How often do you feel anxious?,DeepSeek-V3.2,['Emotional'],[0.35759738087654114],0.1
PERMA1_5,PERMA,How often do you achieve the important goals you have set for yourself?,DeepSeek-V3.2,"['Intellectual', 'Financial', 'Occupational', 'Emotional']","[0.34474265575408936, 0.3155754804611206, 0.2895810306072235, 0.26828962564468384]",0.1
PERMA2_1,PERMA,How would you say your health is?,DeepSeek-V3.2,['Physical'],[0.5737334489822388],0.1
PERMA3_1,PERMA,To what extent do you lead a purposeful and meaningful life?,DeepSeek-V3.2,"['Spiritual', 'Intellectual', 'Emotional', 'Financial']","[0.46333038806915283, 0.4193291664123535, 0.3828756809234619, 0.3668804168701172]",0.1
PERMA3_2,PERMA,To what extent do you receive help and support from others when you need it?,DeepSeek-V3.2,"['Financial', 'Social', 'Occupational']","[0.38602563738822937, 0.3835758566856384, 0.2997093200683594]",0.1
PERMA3_3,PERMA,To what extent do you feel that what you do in your life is valuable and worthwhile?,DeepSeek-V3.2,"['Occupational', 'Financial']","[0.49467048048973083, 0.4354609251022339]",0.1
PERMA3_4,PERMA,To what extent do you feel excited and interested in things?,DeepSeek-V3.2,"['Intellectual', 'Emotional']","[0.4519125521183014, 0.41835230588912964]",0.1
PERMA3_5,PERMA,How lonely do you feel in your daily life?,DeepSeek-V3.2,"['Social', 'Emotional', 'Occupational']","[0.3854983448982239, 0.3398686647415161, 0.30581435561180115]",0.1
PERMA4_1,PERMA,How satisfied are you with your current physical health?,DeepSeek-V3.2,['Physical'],[0.5766974091529846],0.1
PERMA5_1,PERMA,How often do you feel positive?,DeepSeek-V3.2,"['Emotional', 'Social']","[0.3289155662059784, 0.2306538075208664]",0.1
PERMA5_2,PERMA,How often do you feel angry?,DeepSeek-V3.2,['Emotional'],[0.39490172266960144],0.1
PERMA5_3,PERMA,How often are you able to handle your responsibilities?,DeepSeek-V3.2,"['Financial', 'Occupational', 'Intellectual', 'Emotional']","[0.2900283932685852, 0.24252209067344666, 0.20270191133022308, 0.1934588998556137]",0.1
PERMA5_4,PERMA,How often do you feel sad?,DeepSeek-V3.2,['Emotional'],[0.4141169488430023],0.1
PERMA5_5,PERMA,How often do you lose track of time while doing something you enjoy?,DeepSeek-V3.2,"['Intellectual', 'Physical', 'Occupational', 'Emotional']","[0.2726896107196808, 0.2293969839811325, 0.20854167640209198, 0.19571003317832947]",0.1
PERMA6_1,PERMA,"Compared to others of your same age and sex, how is your health?",DeepSeek-V3.2,"['Physical', 'Social']","[0.36290842294692993, 0.32202500104904175]",0.1
PERMA7_1,PERMA,To what extent do you feel you have a sense of direction in your life?,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Intellectual', 'Social']","[0.3759753704071045, 0.3252700865268707, 0.32305413484573364, 0.2934354841709137]",0.1
PERMA7_2,PERMA,How satisfied are you with your personal relationships?,DeepSeek-V3.2,['Social'],[0.49114665389060974],0.1
PERMA7_3,PERMA,To what extent do you feel loved?,DeepSeek-V3.2,['Emotional'],[0.483406126499176],0.1
PERMA7_4,PERMA,To what extent do you feel contented?,DeepSeek-V3.2,"['Emotional', 'Occupational']","[0.41802978515625, 0.3322121798992157]",0.1
PERMA8_1,PERMA,"Taking all things together, how happy would you say you are?",DeepSeek-V3.2,"['Occupational', 'Emotional', 'Social']","[0.33062130212783813, 0.2960847318172455, 0.280311644077301]",0.1
PSS_1,PSS,"During the past month, what time have you usually gone to bed at night?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Spiritual', 'Physical', 'Social', 'Occupational']","[0.10497552901506424, 0.0823039636015892, 0.0451524555683136, 0.036141928285360336, 0.021923191845417023, 0.019842255860567093]",0.1
PSS_2,PSS,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Spiritual', 'Social', 'Physical', 'Intellectual']","[0.10713590681552887, 0.05986044928431511, 0.02731500379741192, 0.024440636858344078, 0.022562948986887932, 0.013301397673785686]",0.1
PSS_3,PSS,"During the past month, what time have you usually gotten up in the morning?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Occupational', 'Physical', 'Intellectual', 'Spiritual']","[0.10132831335067749, 0.08663430064916611, 0.06982482224702835, 0.04289734363555908, 0.04176856577396393, 0.024493606761097908]",0.1
PSS_4,PSS,"During the past month, how many hours of actual sleep did you get at night?",DeepSeek-V3.2,"['Emotional', 'Occupational', 'Environmental', 'Physical', 'Social']","[0.13790638744831085, 0.09545014053583145, 0.07435521483421326, 0.04832649976015091, 0.04817355424165726]",0.1
PSS_5_1,PSS,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Physical', 'Social', 'Occupational', 'Spiritual', 'Intellectual']","[0.06079450249671936, 0.05658109858632088, 0.01376306638121605, -0.004797984380275011, -0.026811614632606506, -0.030298955738544464, -0.036148928105831146]",0.1
PSS_5_2,PSS,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",DeepSeek-V3.2,"['Emotional', 'Environmental']","[0.084379643201828, 0.01557414885610342]",0.1
PSS_5_3,PSS,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",DeepSeek-V3.2,"['Environmental', 'Emotional', 'Physical']","[0.13023634254932404, 0.07228557765483856, 0.06399188190698624]",0.1
PSS_5_4,PSS,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",DeepSeek-V3.2,"['Environmental', 'Emotional', 'Physical']","[0.14158296585083008, 0.12031040340662003, 0.07733892649412155]",0.1
PSS_5_5,PSS,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Social']","[0.0743422880768776, 0.012650947086513042, 0.004738929681479931]",0.1
PSS_5_6,PSS,"During the past month, how often have you had trouble sleeping because you feel too cold?",DeepSeek-V3.2,"['Emotional', 'Environmental']","[0.1217888817191124, 0.027852356433868408]",0.1
PSS_5_7,PSS,"During the past month, how often have you had trouble sleeping because you feel too hot?",DeepSeek-V3.2,"['Emotional', 'Physical', 'Environmental']","[0.1572168618440628, 0.07334500551223755, 0.06640435755252838]",0.1
PSS_5_8,PSS,"During the past month, how often have you had trouble sleeping because you have bad dreams?",DeepSeek-V3.2,"['Emotional', 'Social']","[0.12471737712621689, 0.02622555010020733]",0.1
PSS_5_9,PSS,"During the past month, how often have you had trouble sleeping because you have pain?",DeepSeek-V3.2,"['Emotional', 'Physical', 'Spiritual']","[0.11452221870422363, 0.049906447529792786, 0.019393574446439743]",0.1
PSS_5_10,PSS,"During the past month, how often have you had trouble sleeping because of other reasons?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Social']","[0.09758219122886658, 0.040967587381601334, 0.02845294587314129]",0.1
PSS_6,PSS,"During the past month, how would you rate your sleep quality overall?",DeepSeek-V3.2,"['Physical', 'Social', 'Emotional', 'Environmental', 'Occupational']","[0.16899624466896057, 0.15400651097297668, 0.12976433336734772, 0.10603974014520645, 0.0960802435874939]",0.1
PSS_7,PSS,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",DeepSeek-V3.2,"['Emotional', 'Physical', 'Spiritual', 'Environmental', 'Intellectual']","[0.07145896553993225, 0.05711891129612923, -0.004637153819203377, -0.0050458661280572414, -0.02485838532447815]",0.1
PSS_8,PSS,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",DeepSeek-V3.2,"['Emotional', 'Social', 'Physical', 'Intellectual', 'Environmental', 'Occupational']","[0.20418459177017212, 0.1842212975025177, 0.17100724577903748, 0.1543295532464981, 0.14859133958816528, 0.14666837453842163]",0.1
PSS_9,PSS,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",DeepSeek-V3.2,"['Intellectual', 'Emotional']","[0.29706865549087524, 0.21948173642158508]",0.1
PSS_10_1,PSS,"During the past month, how often has your bed partner or room mate reported loud snoring?",DeepSeek-V3.2,"['Social', 'Environmental', 'Emotional', 'Physical', 'Occupational']","[0.05176103487610817, 0.04189540445804596, 0.037599723786115646, -0.02985527738928795, -0.0440666563808918]",0.1
PSS_10_2,PSS,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Social']","[0.11064143478870392, 0.09535900503396988, 0.05737045034766197]",0.1
PSS_10_3,PSS,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",DeepSeek-V3.2,"['Physical', 'Social', 'Emotional', 'Intellectual', 'Environmental']","[0.05845663323998451, 0.03358122333884239, 0.02831355109810829, -0.0019563203677535057, -0.024914199486374855]",0.1
PSS_10_4,PSS,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",DeepSeek-V3.2,"['Emotional', 'Environmental', 'Social', 'Intellectual']","[0.13625213503837585, 0.07813889533281326, 0.07152216136455536, 0.05024139583110809]",0.1
PSS_10_5,PSS,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",DeepSeek-V3.2,"['Emotional', 'Social', 'Environmental', 'Intellectual']","[0.1040433794260025, 0.0692053958773613, 0.0550922267138958, 0.019499409943819046]",0.1
PWB_1,PWB,I like most parts of my personality.,DeepSeek-V3.2,"['Social', 'Intellectual', 'Environmental', 'Emotional', 'Occupational', 'Physical']","[0.2526872456073761, 0.20389977097511292, 0.20323188602924347, 0.19697712361812592, 0.19644859433174133, 0.16831186413764954]",0.1
PWB_2,PWB,"When I look at the story of my life, I am pleased with how things have turned out so far.",DeepSeek-V3.2,"['Social', 'Emotional', 'Occupational', 'Intellectual']","[0.26488879323005676, 0.23668941855430603, 0.21993166208267212, 0.19357717037200928]",0.1
PWB_3,PWB,"Some people wander aimlessly through life, but I am not one of them.",DeepSeek-V3.2,"['Social', 'Emotional', 'Environmental', 'Intellectual', 'Occupational', 'Spiritual', 'Financial']","[0.2941212058067322, 0.2760741114616394, 0.24271003901958466, 0.23274384438991547, 0.21693779528141022, 0.21528637409210205, 0.2136470377445221]",0.1
PWB_4,PWB,The demands of everyday life often get me down.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Occupational', 'Intellectual', 'Social']","[0.2878061830997467, 0.27493131160736084, 0.2562950551509857, 0.24656350910663605, 0.22555257380008698]",0.1
PWB_5,PWB,In many ways I feel disappointed about my achievements in life.,DeepSeek-V3.2,"['Occupational', 'Emotional', 'Intellectual']","[0.3050084710121155, 0.2660198211669922, 0.24073803424835205]",0.1
PWB_6,PWB,Maintaining close relationships has been difficult and frustrating for me.,DeepSeek-V3.2,['Social'],[0.420848548412323],0.1
PWB_7,PWB,I live life one day at a time and don't really think about the future.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Financial', 'Spiritual']","[0.26096656918525696, 0.20200049877166748, 0.18870818614959717, 0.17509649693965912]",0.1
PWB_8,PWB,"In general, I feel I am in charge of the situation in which I live.",DeepSeek-V3.2,"['Emotional', 'Environmental']","[0.3450789153575897, 0.25709211826324463]",0.1
PWB_9,PWB,I am good at managing the responsibilities of daily life.,DeepSeek-V3.2,"['Occupational', 'Financial', 'Intellectual']","[0.3786487877368927, 0.3774329721927643, 0.32175320386886597]",0.1
PWB_10,PWB,I sometimes feel as if I've done all there is to do in life.,DeepSeek-V3.2,"['Emotional', 'Occupational', 'Financial', 'Intellectual']","[0.37115973234176636, 0.35762473940849304, 0.28581303358078003, 0.2849930226802826]",0.1
PWB_11,PWB,"For me, life has been a continuous process of learning, changing, and growth.",DeepSeek-V3.2,"['Intellectual', 'Emotional']","[0.4299905598163605, 0.36608150601387024]",0.1
PWB_12,PWB,I think it is important to have new experiences that challenge how I think about myself and the world.,DeepSeek-V3.2,"['Spiritual', 'Intellectual', 'Emotional', 'Social']","[0.37088334560394287, 0.36288681626319885, 0.3427056074142456, 0.334084153175354]",0.1
PWB_13,PWB,"People would describe me as a giving person, willing to share my time with others.",DeepSeek-V3.2,"['Social', 'Occupational', 'Spiritual', 'Financial']","[0.3772623836994171, 0.3286626935005188, 0.30779480934143066, 0.2936323583126068]",0.1
PWB_14,PWB,I gave up trying to make big improvements or changes in my life a long time ago.,DeepSeek-V3.2,"['Emotional', 'Intellectual', 'Social', 'Financial', 'Occupational']","[0.24935458600521088, 0.23544545471668243, 0.22932584583759308, 0.22764496505260468, 0.20460398495197296]",0.1
PWB_15,PWB,I tend to be influenced by people with strong opinions.,DeepSeek-V3.2,"['Social', 'Intellectual', 'Emotional', 'Spiritual']","[0.2521258592605591, 0.1937306970357895, 0.18276315927505493, 0.16574274003505707]",0.1
PWB_16,PWB,I have not experienced many warm and trusting relationships with others.,DeepSeek-V3.2,['Social'],[0.5537141561508179],0.1
PWB_17,PWB,"I have confidence in my own opinions, even if they are different from the way most other people think.",DeepSeek-V3.2,"['Social', 'Intellectual', 'Environmental']","[0.26350417733192444, 0.18620912730693817, 0.16480375826358795]",0.1
PWB_18,PWB,"I judge myself by what I think is important, not by the values of what others think is important.",DeepSeek-V3.2,"['Spiritual', 'Emotional', 'Social', 'Intellectual', 'Occupational']","[0.32274672389030457, 0.26527339220046997, 0.2652078866958618, 0.26315802335739136, 0.2236865907907486]",0.1
PWS_1,PWS,I am always optimistic about my future.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Intellectual', 'Occupational', 'Social']","[0.23794931173324585, 0.2120605856180191, 0.20885291695594788, 0.19288864731788635, 0.17643436789512634]",0.1
PWS_2,PWS,There have been times when I felt inferior to most of the people I knew.,DeepSeek-V3.2,"['Social', 'Emotional']","[0.3148466944694519, 0.28765544295310974]",0.1
PWS_3,PWS,Members of my family come to me for support.,DeepSeek-V3.2,"['Social', 'Financial', 'Spiritual', 'Emotional']","[0.24600917100906372, 0.24555563926696777, 0.15426529943943024, 0.14627110958099365]",0.1
PWS_4,PWS,My physical health has restricted me in the past.,DeepSeek-V3.2,['Physical'],[0.4784688651561737],0.1
PWS_5,PWS,I believe there is a real purpose for my life.,DeepSeek-V3.2,"['Spiritual', 'Financial', 'Intellectual', 'Emotional', 'Social', 'Environmental']","[0.35641488432884216, 0.32045677304267883, 0.3113672435283661, 0.2771470248699188, 0.27637720108032227, 0.259895920753479]",0.1
PWS_6,PWS,I will always seek out activities that challenge me to think and reason.,DeepSeek-V3.2,"['Intellectual', 'Spiritual']","[0.4394237697124481, 0.3550662398338318]",0.1
PWS_7,PWS,I rarely count on good things happening to me.,DeepSeek-V3.2,"['Social', 'Emotional', 'Occupational']","[0.2507920563220978, 0.22043271362781525, 0.16622765362262726]",0.1
PWS_8,PWS,"In general, I feel confident about my abilities.",DeepSeek-V3.2,"['Intellectual', 'Social', 'Occupational', 'Emotional']","[0.3577962815761566, 0.2938491702079773, 0.2834852933883667, 0.28253012895584106]",0.1
PWS_9,PWS,Sometimes I wonder if my family will really be there for me when I am in need.,DeepSeek-V3.2,"['Financial', 'Social', 'Emotional', 'Spiritual', 'Occupational']","[0.2343757152557373, 0.22658757865428925, 0.20424219965934753, 0.2010897397994995, 0.1685669720172882]",0.1
PWS_10,PWS,My body seems to resist physical illness very well.,DeepSeek-V3.2,['Physical'],[0.46658334136009216],0.1
PWS_11,PWS,Life does not hold much future promise for me.,DeepSeek-V3.2,"['Financial', 'Emotional', 'Intellectual', 'Social']","[0.2929894030094147, 0.23482325673103333, 0.22728119790554047, 0.22029469907283783]",0.1
PWS_12,PWS,I avoid activities which require me to concentrate.,DeepSeek-V3.2,['Intellectual'],[0.40486589074134827],0.1
PWS_13,PWS,I always look on the bright side of things.,DeepSeek-V3.2,"['Emotional', 'Environmental', 'Occupational', 'Intellectual', 'Spiritual']","[0.23717749118804932, 0.18804968893527985, 0.18236999213695526, 0.17360176146030426, 0.16892488300800323]",0.1
PWS_14,PWS,I sometimes think I am a worthless individual.,DeepSeek-V3.2,"['Occupational', 'Financial']","[0.31693828105926514, 0.22282466292381287]",0.1
PWS_15,PWS,My friends know they can always confide in me and ask me for advice.,DeepSeek-V3.2,['Social'],[0.3150582015514374],0.1
PWS_16,PWS,My physical health is excellent.,DeepSeek-V3.2,['Physical'],[0.6068128943443298],0.1
PWS_17,PWS,Sometimes I don't understand what life is all about.,DeepSeek-V3.2,"['Social', 'Emotional', 'Spiritual', 'Intellectual', 'Financial', 'Environmental', 'Occupational']","[0.2990618050098419, 0.29012829065322876, 0.23311103880405426, 0.2303665578365326, 0.22774453461170197, 0.22075171768665314, 0.20873284339904785]",0.1
PWS_18,PWS,"Generally, I feel pleased with the amount of intellectual stimulation I receive in my daily life.",DeepSeek-V3.2,['Intellectual'],[0.6093108654022217],0.1
PWS_19,PWS,"In the past, I have expected the best.",DeepSeek-V3.2,"['Emotional', 'Social', 'Occupational', 'Intellectual']","[0.12902997434139252, 0.10948184132575989, 0.045822594314813614, 0.037867993116378784]",0.1
PWS_20,PWS,I am uncertain about my ability to do things well in the future.,DeepSeek-V3.2,"['Intellectual', 'Financial', 'Occupational']","[0.34212589263916016, 0.3156396746635437, 0.2859733998775482]",0.1
PWS_21,PWS,My family has been available to support me in the past.,DeepSeek-V3.2,"['Financial', 'Social']","[0.3149707317352295, 0.23193161189556122]",0.1
PWS_22,PWS,"Compared to people I know, my past physical health has been excellent.",DeepSeek-V3.2,['Physical'],[0.4992745816707611],0.1
PWS_23,PWS,I feel a sense of mission about my future.,DeepSeek-V3.2,"['Spiritual', 'Emotional', 'Intellectual', 'Financial']","[0.29383522272109985, 0.2758618891239166, 0.27157777547836304, 0.2707716226577759]",0.1
PWS_24,PWS,The amount of information that I process in a typical day is just about right for me (i.e. not too much and not too little).,DeepSeek-V3.2,"['Intellectual', 'Occupational', 'Financial', 'Emotional', 'Social', 'Physical']","[0.2575267255306244, 0.25511157512664795, 0.23300276696681976, 0.19572581350803375, 0.17110739648342133, 0.16573405265808105]",0.1
PWS_25,PWS,"In the past, I hardly ever expected things to go my way.",DeepSeek-V3.2,"['Emotional', 'Social', 'Intellectual', 'Occupational', 'Financial']","[0.23363393545150757, 0.22836826741695404, 0.16421644389629364, 0.16051098704338074, 0.15128690004348755]",0.1
PWS_26,PWS,I will always be secure with who I am.,DeepSeek-V3.2,"['Social', 'Environmental', 'Financial']","[0.23209881782531738, 0.16709941625595093, 0.1360388994216919]",0.1
PWS_27,PWS,"In the past, I have not always had friends with whom I could share my joys and sorrows.",DeepSeek-V3.2,['Social'],[0.44119030237197876],0.1
PWS_28,PWS,I expect to always be physically healthy.,DeepSeek-V3.2,['Physical'],[0.5642917156219482],0.1
PWS_29,PWS,I have felt in the past that my life was meaningless.,DeepSeek-V3.2,"['Emotional', 'Social', 'Occupational', 'Financial', 'Spiritual']","[0.3762570321559906, 0.28898897767066956, 0.28485408425331116, 0.28397315740585327, 0.28111565113067627]",0.1
PWS_30,PWS,"In the past, I have generally found intellectual challenges to be vital to my overall well-being.",DeepSeek-V3.2,['Intellectual'],[0.5680669546127319],0.1
PWS_31,PWS,Things will not work out the way I want them to in the future.,DeepSeek-V3.2,"['Financial', 'Social', 'Emotional', 'Intellectual']","[0.22148668766021729, 0.14116472005844116, 0.12877686321735382, 0.1255418062210083]",0.1
PWS_32,PWS,"In the past, I have felt sure of myself among strangers.",DeepSeek-V3.2,"['Social', 'Emotional']","[0.39850592613220215, 0.3225421905517578]",0.1
PWS_33,PWS,My friends will be there for me when I need help.,DeepSeek-V3.2,"['Social', 'Financial', 'Intellectual']","[0.2002924233675003, 0.14384686946868896, 0.10383681207895279]",0.1
PWS_34,PWS,I expect my physical health to get worse.,DeepSeek-V3.2,['Physical'],[0.48682138323783875],0.1
PWS_35,PWS,It seems that my life has always had purpose.,DeepSeek-V3.2,"['Financial', 'Occupational', 'Intellectual', 'Spiritual', 'Social', 'Emotional', 'Environmental']","[0.3333788514137268, 0.33198082447052, 0.3183434009552002, 0.2997383177280426, 0.27311500906944275, 0.269540399312973, 0.24467989802360535]",0.1
PWS_36,PWS,My life has often seemed void of positive mental stimulation.,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Intellectual', 'Occupational', 'Social']","[0.33642053604125977, 0.3322203457355499, 0.32055509090423584, 0.3169127106666565, 0.3115098476409912]",0.1
UCLA_1,UCLA,I am unhappy doing so many things alone,DeepSeek-V3.2,"['Occupational', 'Financial', 'Emotional']","[0.29072901606559753, 0.26632678508758545, 0.2558540105819702]",0.1
UCLA_2,UCLA,I have nobody to talk to,DeepSeek-V3.2,['Social'],[0.15948523581027985],0.1
UCLA_3,UCLA,I cannot tolerate being so alone,DeepSeek-V3.2,"['Social', 'Emotional', 'Environmental']","[0.25118687748908997, 0.24671481549739838, 0.20447015762329102]",0.1
UCLA_4,UCLA,I lack companionship,DeepSeek-V3.2,['Social'],[0.41576769948005676],0.1
UCLA_5,UCLA,I feel as if nobody really understands me,DeepSeek-V3.2,"['Emotional', 'Spiritual', 'Social', 'Intellectual']","[0.25286176800727844, 0.24387021362781525, 0.23086659610271454, 0.21890686452388763]",0.1
UCLA_6,UCLA,I find myself waiting for people to call or write,DeepSeek-V3.2,"['Social', 'Intellectual']","[0.2614515423774719, 0.18916518986225128]",0.1
UCLA_7,UCLA,There is no one I can turn to,DeepSeek-V3.2,"['Financial', 'Spiritual', 'Social', 'Emotional', 'Physical', 'Environmental']","[0.11350120604038239, 0.0953250378370285, 0.04510670155286789, 0.0412263385951519, 0.040232691913843155, 0.033845193684101105]",0.1
UCLA_8,UCLA,I am no longer close to anyone,DeepSeek-V3.2,['Social'],[0.34147506952285767],0.1
UCLA_9,UCLA,My interests and ideas are not shared by those around me,DeepSeek-V3.2,"['Intellectual', 'Social', 'Financial']","[0.3040952980518341, 0.2539811432361603, 0.2225096970796585]",0.1
